Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL,,,,,,,,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",9780545010221,https://dj6cnfthgyqas.cloudfront.net/0545010225-original.jpg,,,$22.68,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780545010221,$34.99,http://www.indiebound.org/book/9780545010221?aff=rifflebooks,,,,,,,,
"The Hunger Games (The Hunger Games, #1)",9780439023481,https://dj6cnfthgyqas.cloudfront.net/0439023483-original.jpg,$26.95,https://play.google.com/store/audiobooks/details/Suzanne_Collins_The_Hunger_Games?id=AQAAAAATUltSWM,$12.31,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439023481,$18.99,http://www.indiebound.org/book/9780439023481?aff=rifflebooks,,,,,,,,
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",9780439785969,https://dj6cnfthgyqas.cloudfront.net/0439785960-original.jpg,,,$9.33,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439785969,$12.99,http://www.indiebound.org/book/9780439785969?aff=rifflebooks,,,,,,,,
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",9780439139601,https://dj6cnfthgyqas.cloudfront.net/0439139600-original.jpg,,,$9.84,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439139601,$12.99,http://www.indiebound.org/book/9780439139601?aff=rifflebooks,,,,,,,,
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",9780439358071,https://dj6cnfthgyqas.cloudfront.net/0439358078-original.jpg,,,$8.67,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439358071,$12.99,http://www.indiebound.org/book/9780439358071?aff=rifflebooks,,,,,,,,
The Book Thief,9780375831003,https://dj6cnfthgyqas.cloudfront.net/B000XUBFE2-original.jpg,$9.99,https://play.google.com/store/books/details/Markus_Zusak_The_Book_Thief?id=veGXULZK6UAC,$13.78,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375831003,$19.99,http://www.indiebound.org/book/9780375831003?aff=rifflebooks,,,,,,,,
The Time Traveler's Wife,9781939126016,https://dj6cnfthgyqas.cloudfront.net/B015PB0L6G-original.jpg,$9.99,https://play.google.com/store/books/details/Audrey_Niffenegger_The_Time_Traveler_s_Wife?id=URP2AAAAQBAJ,$8.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781939126016,,,,,,,,,,
The Kite Runner,9781594480003,https://dj6cnfthgyqas.cloudfront.net/B000OCXGZA-original.jpg,$12.99,https://play.google.com/store/books/details/Khaled_Hosseini_The_Kite_Runner?id=dS-VxlwauxwC,$11.16,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781594480003,$16.00,http://www.indiebound.org/book/9781594480003?aff=rifflebooks,,,,,,,,
The Help,9780399155345,https://dj6cnfthgyqas.cloudfront.net/0399155341-original.jpg,$13.99,https://play.google.com/store/books/details/Kathryn_Stockett_The_Help?id=5-KerGE_DV0C,$17.82,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780399155345,$26.95,http://www.indiebound.org/book/9780399155345?aff=rifflebooks,,,,,,,,
A Thousand Splendid Suns,9781594489501,https://dj6cnfthgyqas.cloudfront.net/1594489505-original.jpg,$13.99,https://play.google.com/store/books/details/Khaled_Hosseini_A_Thousand_Splendid_Suns?id=tYOr9n21B7oC,$18.04,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781594489501,$25.95,http://www.indiebound.org/book/9781594489501?aff=rifflebooks,,,,,,,,
"Catching Fire (The Hunger Games, #2)",9780439023498,https://dj6cnfthgyqas.cloudfront.net/0439023491-original.jpg,,,$13.35,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439023498,$18.99,http://www.indiebound.org/book/9780439023498?aff=rifflebooks,,,,,,,,
"Twilight (Twilight, #1)",9780316015844,,,,,,,,,,,,,,,
Water for Elephants,9781565125605,https://dj6cnfthgyqas.cloudfront.net/1565125606-original.jpg,$1.99,https://play.google.com/store/books/details/Sara_Gruen_Water_For_Elephants?id=ivy5vSHXmQUC,$10.67,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781565125605,$15.95,http://www.indiebound.org/book/9781565125605?aff=rifflebooks,,,,,,,,
"The Girl with the Dragon Tattoo (Millennium, #1)",9780307269751,https://dj6cnfthgyqas.cloudfront.net/0307269752-original.jpg,,,$29.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307269751,$29.95,http://www.indiebound.org/book/9780307269751?aff=rifflebooks,,,,,,,,
Life of Pi,9780770430078,,,,,,,,,,,,,,,
"The Da Vinci Code (Robert Langdon, #2)",9780307277671,https://dj6cnfthgyqas.cloudfront.net/0307277674-original.jpg,,,$10.96,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307277671,$14.95,http://www.indiebound.org/book/9780307277671?aff=rifflebooks,,,,,,,,
The Lovely Bones,9780316166683,https://dj6cnfthgyqas.cloudfront.net/0316166685-original.jpg,$12.99,https://play.google.com/store/books/details/Alice_Sebold_The_Lovely_Bones?id=GKc2mPfcZ8AC,$7.50,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316166683,$7.50,http://www.indiebound.org/book/9780316166683?aff=rifflebooks,,,,,,,,
The Road,9780307265432,https://dj6cnfthgyqas.cloudfront.net/0307265439-original.jpg,$13.99,https://play.google.com/store/books/details/Cormac_McCarthy_The_Road?id=PfmjWho_zOAC,$20.49,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307265432,$28.95,http://www.indiebound.org/book/9780307265432?aff=rifflebooks,,,,,,,,
The Curious Incident of the Dog in the Night-Time,9781400032716,https://dj6cnfthgyqas.cloudfront.net/1400032717-original.jpg,$12.99,https://play.google.com/store/books/details/Mark_Haddon_The_Curious_Incident_of_the_Dog_in_the?id=Thc32eB1Kx4C,$9.44,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400032716,$15.00,http://www.indiebound.org/book/9781400032716?aff=rifflebooks,,,,,,,,
The Secret Life of Bees,9780142001745,https://dj6cnfthgyqas.cloudfront.net/0142001740-original.jpg,$13.99,https://play.google.com/store/books/details/Sue_Monk_Kidd_The_Secret_Life_of_Bees?id=00YpiHD-30MC,$10.74,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780142001745,$16.00,http://www.indiebound.org/book/9780142001745?aff=rifflebooks,,,,,,,,
Middlesex,9780312422158,https://dj6cnfthgyqas.cloudfront.net/0312422156-original.jpg,$11.99,https://play.google.com/store/books/details/Jeffrey_Eugenides_Middlesex?id=rUHHbYhlIxYC,$10.46,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312422158,$15.00,http://www.indiebound.org/book/9780312422158?aff=rifflebooks,,,,,,,,
My Sister's Keeper,9780743454537,https://dj6cnfthgyqas.cloudfront.net/0743454537-original.jpg,$12.99,https://play.google.com/store/books/details/Jodi_Picoult_My_Sister_s_Keeper?id=GlKHXH87nEsC,$10.70,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743454537,$16.99,http://www.indiebound.org/book/9780743454537?aff=rifflebooks,,,,,,,,
"Harry Potter Boxset (Harry Potter, #1-7)",9780545044257,https://dj6cnfthgyqas.cloudfront.net/0545044251-original.jpg,Free,https://play.google.com/store/books/details/Brian_Rathbone_Call_of_the_Herald?id=_dWkBCc0J-IC,$139.72,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780545044257,$205.93,http://www.indiebound.org/book/9780545044257?aff=rifflebooks,,,,,,,,
The Glass Castle,9780743247542,https://dj6cnfthgyqas.cloudfront.net/074324754X-original.jpg,$12.99,https://play.google.com/store/books/details/Jeannette_Walls_The_Glass_Castle?id=auZXJuwLw8QC,$12.84,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743247542,$17.00,http://www.indiebound.org/book/9780743247542?aff=rifflebooks,,,,,,,,
"The Lightning Thief (Percy Jackson and the Olympians, #1)",9780786838653,https://dj6cnfthgyqas.cloudfront.net/0786838655-original.jpg,,,$7.19,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780786838653,$7.99,http://www.indiebound.org/book/9780786838653?aff=rifflebooks,,,,,,,,
"Breaking Dawn (Twilight, #4)",9780316067928,https://dj6cnfthgyqas.cloudfront.net/031606792X-original.jpg,,,$15.01,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316067928,$22.99,http://www.indiebound.org/book/9780316067928?aff=rifflebooks,,,,,,,,
"Eclipse (Twilight, #3)",9780316160209,https://dj6cnfthgyqas.cloudfront.net/0316160202-original.jpg,$42.46,https://play.google.com/store/audiobooks/details/Stephenie_Meyer_Twilight_Tenth_Anniversary_Life_an?id=AQAAAICVT3jP_M,$13.05,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316160209,$19.99,http://www.indiebound.org/book/9780316160209?aff=rifflebooks,,,,,,,,
Atonement,9780385721790,https://dj6cnfthgyqas.cloudfront.net/038572179X-original.jpg,$8.99,https://play.google.com/store/books/details/Kirsten_Beyer_Atonement?id=QFEjBQAAQBAJ,$10.07,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385721790,$16.00,http://www.indiebound.org/book/9780385721790?aff=rifflebooks,,,,,,,,
