"Book Title","ISBN","Amazon URL","GoodReads Description","Wikipedia Description","Readgeek Description"
"A Dance with Dragons (A Song of Ice and Fire, #5)","9780007548293","https://www.goodreads.com/buy_buttons/15/follow?book_id=10664113&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","In the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance√¢¬Ä¬îbeset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind.Fleeing from Westeros with a price on his head, Tyrion Lannister, too, is making his way to Daenerys. But his newest allies in this quest are not the rag-tag band they seem, and at their heart lies one who could undo Daenerys√¢¬Ä¬ôs claim to Westeros forever.Meanwhile, to the north lies the mammoth Wall of ice and stone√¢¬Ä¬îa structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night√¢¬Ä¬ôs Watch, will face his greatest challenge. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice.From all corners, bitter conflicts reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves, will face seemingly insurmountable obstacles. Some will fail, others will grow in the strength of darkness. But in a time of rising restlessness, the tides of destiny and politics will lead inevitably to the greatest dance of all.","A Dance with Dragons is the fifth of seven planned novels in the epic fantasy series A Song of Ice and Fire by American author George R. R. Martin. In some areas the paperback edition was published in two parts titled Dreams and Dust and After the Feast. It was the first novel in the series to be published following the commencement of the HBO series adaptation, Game of Thrones, and runs to 1,040 pages.","Paperback. Pub Date :2014-03-27 Pages: 592 Language: English Publisher: Harper Collins HBO's hit series A GAME OF THRONES is based on George RR Martin's internationally bestselling series A SONG OF ICE AND FIRE. the greatest fantasy epic of the modern age A DANCE WITH DRAGONS:... AFTER THE FEAST is the SECOND part of the fifth volume in the series The future of the Seven Kingdoms hangs in the balance In King's Landing the Queen Regent. Cersei Lannister. awaits trial. abandoned by all those she trusted; while in the eastern city of Yunkai her brother Tyrion has been sold as a slave From the Wall. having left his wife and the Red Priestess Melisandre under the protection of Jon Snow. Stannis Baratheon marches south to confront the Boltons at Winterfell. . But beyond the Wall the wildling armies are massing for an assault ... On all sides bitter conflicts are reigniting. played..."
"Wonder","9781474821469","https://www.goodreads.com/buy_buttons/15/follow?book_id=23302416&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","Alternative Cover Edition ISBN: 9780552565974You can't blend in when you were born to stand out.My name is August. I won't describe what I look like. Whatever you're thinking, it's probably worse.August Pullman wants to be an ordinary ten-year-old. He does ordinary things. He eats ice cream. He plays on his Xbox. He feels ordinary - inside.But Auggie is far from ordinary. Ordinary kids don't make other ordinary kids run away screaming in playgrounds. Ordinary kids don't get stared at wherever they go.Born with a terrible facial abnormality, Auggie has been home-schooled by his parents his whole life, in an attempt to protect him from the cruelty of the outside world. Now, for the first time, he's being sent to a real school - and he's dreading it. All he wants is to be accepted - but can he convince his new classmates that he's just like them, underneath it all?Narrated by Auggie and the people around him whose lives he touches forever, Wonder is a funny, frank, astonishingly moving debut to read in one sitting, pass on to others, and remember long after the final page.","Wonder is a children's novel by Raquel Jaramillo, under the pen name of R. J. Palacio,[3] published on February 14, 2012.",""
"Fangirl","9781594747892","https://www.goodreads.com/buy_buttons/12/follow?book_id=16068905&ref=x_gr_w_bb&tag=x_gr_w_bb-20","From the author of the New York Times bestseller Eleanor & Park. 
  A coming-of-age tale of fan fiction, family and first love.
Cath is a Simon Snow fan.Okay, the whole world is a Simon Snow fan...But for Cath, being a fan is her life√¢¬Ä¬îand she√¢¬Ä¬ôs really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it√¢¬Ä¬ôs what got them through their mother leaving. Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fan fiction, dressing up like the characters for every movie premiere.Cath√¢¬Ä¬ôs sister has mostly grown away from fandom, but Cath can√¢¬Ä¬ôt let go. She doesn√¢¬Ä¬ôt want to.Now that they√¢¬Ä¬ôre going to college, Wren has told Cath she doesn√¢¬Ä¬ôt want to be roommates. Cath is on her own, completely outside of her comfort zone. She√¢¬Ä¬ôs got a surly roommate with a charming, always-around boyfriend, a fiction-writing professor who thinks fan fiction is the end of the civilized world, a handsome classmate who only wants to talk about words... And she can√¢¬Ä¬ôt stop worrying about her dad, who√¢¬Ä¬ôs loving and fragile and has never really been alone.For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? Writing her own stories?And does she even want to move on if it means leaving Simon Snow behind?","Fangirl is a 2013 contemporary young adult novel written by Rainbow Rowell. Fangirl's publication follows Rowell's previous young adult novel published earlier in 2013, Eleanor & Park.","Fanfic cosplay cons books memes podcasts vlogs OTPs and RPGs and MMOs and more-its never been a better time to be a girl geek The Fangirls Guide to the Galaxy is the ultimate handbook for ladies living the nerdy life a fun and feminist take on the often male-dominated world of geekdom With delightful illustrations and an unabashed love for all the internets and outs of geek culture this book is packed with tips playthroughs and cheat codes for everything from starting an online fan community to planning a convention visit to supporting fellow female geeks in the wild"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","9781408857885","https://www.goodreads.com/buy_buttons/12/follow?book_id=17927395&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Feyre survived Amarantha's clutches to return to the Spring Court√¢¬Ä¬îbut at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.Nor has Feyre forgotten her bargain with Rhysand, High Lord of the feared Night Court. As Feyre navigates its dark web of politics, passion, and dazzling power, a greater evil looms√¢¬Ä¬îand she might be key to stopping it. But only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future√¢¬Ä¬îand the future of a world cleaved in two.With more than a million copies sold of her beloved Throne of Glass series, Sarah J. Maas's masterful storytelling brings this second book in her seductive and action-packed series to new heights.","","THE INSTANT NEW YORK TIMES BESTSELLERPerfect for fans of Kristin Cashore and George R.R. Martin, this first book in a sexy and action-packed new series is impossible to put down!When nineteen-year-old huntress Feyre kills a wolf in the woods, a beast-like creature arrives to demand retribution for it. Dragged to a treacherous magical land she only knows about from legends, Feyre discovers that her captor is not an animal, but Tamlin--one of the lethal, immortal faeries who once ruled their world. As she dwells on his estate, her feelings for Tamlin transform from icy hostility into a fiery passion that burns through every lie and warning she's been told about the beautiful, dangerous world of the Fae. But an ancient, wicked shadow over the faerie lands is growing, and Feyre must find a way to stop it . . . or doom Tamlin--and his world--forever."
"Bossypants","9781847445193","https://www.goodreads.com/buy_buttons/12/follow?book_id=9418327&ref=x_gr_e_nl_newreleases_sout_bb&tag=x_gr_e_nl_newreleases_sout_bb-20","Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.She has seen both these dreams come true.At last, Tina Fey's story can be told. From her youthful days as a vicious nerd to her tour of duty on Saturday Night Live; from her passionately halfhearted pursuit of physical beauty to her life as a mother eating things off the floor; from her one-sided college romance to her nearly fatal honeymoon√¢¬Ä¬îfrom the beginning of this paragraph to this final sentence.Tina Fey reveals all, and proves what we've all suspected: you're no one until someone calls you bossy.(Includes Special, Never-Before-Solicited Opinions on Breastfeeding, Princesses, Photoshop, the Electoral Process, and Italian Rum Cake!)An unabridged recording on 5 CDs (5.5 Hours).","Bossypants is an autobiographical comedy book written by the American comedian Tina Fey.[1][2][3] The book topped The New York Times Best Seller list, and stayed there for five weeks upon its release.[4] As of November 2014, the book has sold over 2.5 million copies since its debut, according to Nielsen BookScan.[5] Additionally, Fey's Grammy nominated narration of the audiobook has sold over 150,000 copies on Audible.com.[6] A paperback reprint edition was released in January 2012, from Reagan Arthur Books, an imprint of Little, Brown.","Amazon Best Books of the Month, April 2011: Tina Fey’s new book Bossypants is short, messy, and impossibly funny (an apt description of the comedian herself). From her humble roots growing up in Pennsylvania to her days doing amateur improv in Chicago to her early sketches on Saturday Night Live, Fey gives us a fascinating glimpse behind the curtain of modern comedy with equal doses of wit, candor, and self-deprecation. Some of the funniest chapters feature the differences between male and female comedy writers (""men urinate in cups""), her cruise ship honeymoon (""it’s very Poseidon Adventure""), and advice about breastfeeding (""I had an obligation to my child to pretend to try""). But the chaos of Fey’s life is best detailed when she’s dividing her efforts equally between rehearsing her Sarah Palin impression, trying to get Oprah to appear on 30 Rock, and planning her daughter’s Peter Pan-themed birthday. Bossypants gets to the heart of why Tina Fey remains universally adored: she embodies the hectic, too-many-things-to-juggle lifestyle we all have, but instead of complaining about it, she can just laugh it off. --Kevin Nguyen"
"The Unbecoming of Mara Dyer (Mara Dyer, #1)","9780857073631","https://www.goodreads.com/buy_buttons/12/follow?book_id=11408650&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Mara Dyer believes life can't get any stranger than waking up in a hospital with no memory of how she got there.It can.She believes there must be more to the accident she can't remember that killed her friends and left her strangely unharmed. There is.She doesn't believe that after everything she's been through, she can fall in love. She's wrong.","",""
"Beautiful Disaster (Beautiful, #1)","9781471130830","https://www.goodreads.com/buy_buttons/12/follow?book_id=11505797&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The new Abby Abernathy is a good girl. She doesn√¢¬Ä¬ôt drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. Travis Maddox, lean, cut, and covered in tattoos, is exactly what Abby needs√¢¬Ä¬îand wants√¢¬Ä¬îto avoid. He spends his nights winning money in a floating fight ring, and his days as the ultimate college campus charmer. Intrigued by Abby√¢¬Ä¬ôs resistance to his appeal, Travis tricks her into his daily life with a simple bet. If he loses, he must remain abstinent for a month. If Abby loses, she must live in Travis√¢¬Ä¬ôs apartment for the same amount of time. Either way, Travis has no idea that he has met his match.","Beautiful Disaster is a new adult novel by American author Jamie McGuire.[1] It appeared first on the New York Times Best Seller list as a self-published novel in 2012.[2] Beautiful Disaster was originally self-published in May 2011, then acquired by Atria Books of Simon & Schuster and re-released in August 2012.[3] It has been translated into over fifty languages worldwide.",""
"Wool Omnibus (Silo, #1)","-1","https://www.goodreads.com/buy_buttons/12/follow?book_id=13453029&ref=x_gr_w_bb&tag=x_gr_w_bb-20","This Omnibus Edition collects the five Wool books into a single volume. It is for those who arrived late to the party and who wish to save a dollar or two while picking up the same stories in a single package.The first Wool story was released as a standalone short in July of 2011. Due to reviewer demand, the rest of the story was released over the next six months. My thanks go out to those reviewers who clamored for more. Without you, none of this would exist. Your demand created this as much as I did.This is the story of mankind clawing for survival, of mankind on the edge. The world outside has grown unkind, the view of it limited, talk of it forbidden. But there are always those who hope, who dream. These are the dangerous people, the residents who infect others with their optimism. Their punishment is simple. They are given the very thing they profess to want: They are allowed outside.","",""
"Angelfall (Penryn & the End of Days, #1)","9781444778519","https://www.goodreads.com/buy_buttons/12/follow?book_id=15863832&ref=x_gr_w_bb&tag=x_gr_w_bb-20","It's been six weeks since angels of the apocalypse descended to demolish the modern world. Street gangs rule the day while fear and superstition rule the night. When warrior angels fly away with a helpless little girl, her seventeen-year-old sister Penryn will do anything to get her back.Anything, including making a deal with an enemy angel.Raffe is a warrior who lies broken and wingless on the street. After eons of fighting his own battles, he finds himself being rescued from a desperate situation by a half-starved teenage girl.Traveling through a dark and twisted Northern California, they have only each other to rely on for survival. Together, they journey toward the angels' stronghold in San Francisco where she'll risk everything to rescue her sister and he'll put himself at the mercy of his greatest enemies for the chance to be made whole again.","Angelfall is a post-apocalyptic fantasy novel written by Korean-American author Susan Ee.[1] It is the first book in the Penryn & the End Of Days trilogy. The story is narrated by Penryn Young, a 17-year-old girl living in the San Francisco Bay, which has been attacked by angels. The book has been translated to more than 20 languages and was one of the finalists for the Best Fantasy and Fiction Book in the 2011 Cybils Award.[2] It was also one of the top 5 E-book UK Bestsellers in Amazon.[3] On November 2012, the movie rights was picked up by Good Universe.[4] A sequel, World After, was released the following year.[5] The final book End of Days was released in May 2015.[6]",""
"Ignite Me (Shatter Me, #3)","9780062085580","https://www.goodreads.com/buy_buttons/12/follow?book_id=13188676&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The heart-stopping conclusion to the New York Times bestselling Shatter Me series, which Ransom Riggs, bestselling author of Miss Peregrine√¢¬Ä¬ôs Home for Peculiar Children, called √¢¬Ä¬úa thrilling, high-stakes saga of self-discovery and forbidden love.√¢¬Ä¬ùWith Omega Point destroyed, Juliette doesn√¢¬Ä¬ôt know if the rebels, her friends, or even Adam are alive. But that won√¢¬Ä¬ôt keep her from trying to take down The Reestablishment once and for all. Now she must rely on Warner, the handsome commander of Sector 45. The one person she never thought she could trust. The same person who saved her life. He promises to help Juliette master her powers and save their dying world . . . but that√¢¬Ä¬ôs not all he wants with her.The Shatter Me series is perfect for fans who crave action-packed young adult novels with tantalizing romance like Divergent by Veronica Roth, The Hunger Games by Suzanne Collins, and Legend by Marie Lu. Tahereh Mafi has created a captivating and original story that combines the best of dystopian and paranormal, and was praised by Publishers Weekly as √¢¬Ä¬úa gripping read from an author who√¢¬Ä¬ôs not afraid to take risks.√¢¬Ä¬ù Now this final book brings the series to a shocking and satisfying end.","Shatter Me is a young adult dystopian thriller written by Tahereh Mafi, published on November 15, 2011.[1] The book is narrated by Juliette, a 17-year-old girl with a lethal touch and is unusual in that it contains passages and lines that have been crossed out.[2] The second book in the series, Unravel Me, was published on February 5, 2013. The third book in the series, Ignite Me, was published on February 4, 2014.","In The Lacuna, her first novel in nine years, Barbara Kingsolver, the acclaimed New York Times bestselling author of The Poisonwood Bible and Animal, Vegetable, Miracle: A Year of Food Life, tells the story of Harrison William Shepherd, a man caught between two worlds—an unforgettable protagonist whose search for identity will take readers to the heart of the twentieth century’s most tumultuous events."
