Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",9780439554930,https://dj6cnfthgyqas.cloudfront.net/059035342X-original.jpg,,,$22.83,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439554930,$24.95,http://www.indiebound.org/book/9780439554930?aff=rifflebooks
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",9780439655484,https://dj6cnfthgyqas.cloudfront.net/0439136369-original.jpg,,,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439655484,$7.99,http://www.indiebound.org/book/9780439655484?aff=rifflebooks
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",9780439064866,https://dj6cnfthgyqas.cloudfront.net/0439064872-original.jpg,,,$16.91,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439064866,$26.99,http://www.indiebound.org/book/9780439064866?aff=rifflebooks
"A Game of Thrones (A Song of Ice and Fire, #1)",9780553588484,https://dj6cnfthgyqas.cloudfront.net/0553588486-original.jpg,$46.16,https://play.google.com/store/audiobooks/details/George_R_R_Martin_A_Game_of_Thrones?id=AQAAAAB4RT5FVM,$3.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780553588484,$3.99,http://www.indiebound.org/book/9780553588484?aff=rifflebooks
Memoirs of a Geisha,9780739326220,https://dj6cnfthgyqas.cloudfront.net/0739326228-original.jpg,$13.99,https://play.google.com/store/books/details/Arthur_Golden_Memoirs_of_a_Geisha?id=SOM54qQ6BgkC,$26.62,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780739326220,,
"The Giver (The Giver, #1)",9780385732550,https://dj6cnfthgyqas.cloudfront.net/0385732554-original.jpg,,,$6.84,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385732550,$8.99,http://www.indiebound.org/book/9780385732550?aff=rifflebooks
"The Golden Compass (His Dark Materials, #1)",9780679879244,https://dj6cnfthgyqas.cloudfront.net/0375838309-original.jpg,$28.95,https://play.google.com/store/audiobooks/details/Philip_Pullman_The_Golden_Compass_His_Dark_Materia?id=AQAAAIBFd2z3OM,$16.47,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679879244,$20.00,http://www.indiebound.org/book/9780679879244?aff=rifflebooks
The Poisonwood Bible,9780060786502,https://dj6cnfthgyqas.cloudfront.net/0060930535-original.jpg,$11.99,https://play.google.com/store/books/details/Barbara_Kingsolver_The_Poisonwood_Bible?id=Q69PhJN-TbwC,$12.30,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060786502,$16.99,http://www.indiebound.org/book/9780060786502?aff=rifflebooks
The Perks of Being a Wallflower,9780671027346,https://dj6cnfthgyqas.cloudfront.net/1451696191-original.jpg,$12.99,https://play.google.com/store/books/details/Stephen_Chbosky_The_Perks_of_Being_a_Wallflower?id=xFNG764pnOgC,$9.44,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780671027346,$14.99,http://www.indiebound.org/book/9780671027346?aff=rifflebooks
"Holes (Holes, #1)",9780439244190,https://dj6cnfthgyqas.cloudfront.net/0439244196-original.jpg,,,,,,
Fight Club,9780393327342,https://dj6cnfthgyqas.cloudfront.net/0393327345-original.jpg,$9.99,https://play.google.com/store/books/details/Chuck_Palahniuk_Fight_Club_A_Novel?id=hoGkPfds4tAC,$9.42,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780393327342,$14.95,http://www.indiebound.org/book/9780393327342?aff=rifflebooks
"Bridget Jones's Diary (Bridget Jones, #1)",9780140280098,https://dj6cnfthgyqas.cloudfront.net/014028009X-original.jpg,,,$10.32,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140280098,$16.00,http://www.indiebound.org/book/9780140280098?aff=rifflebooks
"Angela's Ashes (Frank McCourt, #1)",9780007205233,https://dj6cnfthgyqas.cloudfront.net/0007205236-original.jpg,,,$17.35,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780007205233,,
Girl with a Pearl Earring,9780452287020,https://dj6cnfthgyqas.cloudfront.net/0452287022-original.jpg,$13.99,https://play.google.com/store/books/details/Tracy_Chevalier_Girl_with_a_Pearl_Earring?id=9GSKswo9wmQC,$11.16,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780452287020,$16.00,http://www.indiebound.org/book/9780452287020?aff=rifflebooks
The Secret History,9781400031702,https://dj6cnfthgyqas.cloudfront.net/1400031702-original.jpg,$10.99,https://play.google.com/store/books/details/Donna_Tartt_The_Secret_History?id=VO2w8m-ZAeMC,$10.74,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400031702,$16.95,http://www.indiebound.org/book/9781400031702?aff=rifflebooks
"Jurassic Park (Jurassic Park, #1)",9780345370778,https://dj6cnfthgyqas.cloudfront.net/B007UH4D3G-original.jpg,,,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780345370778,$7.99,http://www.indiebound.org/book/9780345370778?aff=rifflebooks
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",9780060853983,https://dj6cnfthgyqas.cloudfront.net/0060853980-original.jpg,$7.08,https://play.google.com/store/books/details/Neil_Gaiman_Good_Omens?id=B7FL6zzN_FsC,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060853983,$7.99,http://www.indiebound.org/book/9780060853983?aff=rifflebooks
The Virgin Suicides,9780747560593,https://dj6cnfthgyqas.cloudfront.net/0747560595-original.jpg,$11.99,https://play.google.com/store/books/details/Jeffrey_Eugenides_The_Virgin_Suicides?id=779PFbAPODYC,$10.96,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780747560593,,
"A Clash of Kings  (A Song of Ice and Fire, #2)",9780553381696,https://dj6cnfthgyqas.cloudfront.net/0553381695-original.jpg,,,$14.60,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780553381696,$18.00,http://www.indiebound.org/book/9780553381696?aff=rifflebooks
"The Bad Beginning (A Series of Unfortunate Events, #1)",9780439206471,https://dj6cnfthgyqas.cloudfront.net/0439206472-original.jpg,,,,,,
Speak,9780141310886,https://dj6cnfthgyqas.cloudfront.net/014131088X-original.jpg,$10.99,https://play.google.com/store/books/details/Laurie_Halse_Anderson_Speak?id=0SSoFvWQSD0C,$6.60,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780141310886,$8.99,http://www.indiebound.org/book/9780141310886?aff=rifflebooks
"Outlander (Outlander, #1)",9780440242949,https://dj6cnfthgyqas.cloudfront.net/0440242940-original.jpg,$19.95,https://play.google.com/store/audiobooks/details/Diana_Gabaldon_Outlander?id=AQAAAICM-BV4iM,$3.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780440242949,$3.99,http://www.indiebound.org/book/9780440242949?aff=rifflebooks
Neverwhere,9780060557812,https://dj6cnfthgyqas.cloudfront.net/0060557818-original.jpg,,https://play.google.com/store/books/series?id=CcfXFwAAABDf0M,$11.36,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060557812,$15.99,http://www.indiebound.org/book/9780060557812?aff=rifflebooks
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",9780060987107,https://dj6cnfthgyqas.cloudfront.net/0060987103-original.jpg,$1.99,https://play.google.com/store/books/details/Gregory_Maguire_Wicked?id=ycOjhHsqTwQC,$10.13,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060987107,$16.00,http://www.indiebound.org/book/9780060987107?aff=rifflebooks
"The Subtle Knife (His Dark Materials, #2)",9780679879251,https://dj6cnfthgyqas.cloudfront.net/0679879250-original.jpg,$28.95,https://play.google.com/store/audiobooks/details/Philip_Pullman_The_Subtle_Knife_His_Dark_Materials?id=AQAAAADVh2KHpM,$17.01,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679879251,$20.00,http://www.indiebound.org/book/9780679879251?aff=rifflebooks
The Things They Carried,9780767902892,https://dj6cnfthgyqas.cloudfront.net/0767902890-original.jpg,$12.28,https://play.google.com/store/books/details/Tim_O_Brien_The_Things_They_Carried?id=Op6eKrkxPq4C,$10.55,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780767902892,$14.95,http://www.indiebound.org/book/9780767902892?aff=rifflebooks
Ella Enchanted,9780590920681,https://dj6cnfthgyqas.cloudfront.net/0590920685-original.jpg,$0.99,https://play.google.com/store/books/details/Gail_Carson_Levine_Ella_Enchanted?id=YF3Z6Q6pNCcC,,,,
Sophie's World,9781857993288,https://dj6cnfthgyqas.cloudfront.net/1857993284-original.jpg,$10.99,https://play.google.com/store/books/details/Jostein_Gaarder_Sophie_s_World?id=jb9NGu6dEdkC,,,,
The God of Small Things,9780679457312,https://dj6cnfthgyqas.cloudfront.net/0679457313-original.jpg,$13.99,https://play.google.com/store/books/details/Arundhati_Roy_The_God_of_Small_Things?id=WxOFiAbwu_cC,$21.16,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679457312,,
The Green Mile,9780451933027,https://dj6cnfthgyqas.cloudfront.net/0451933028-original.jpg,$10.99,https://play.google.com/store/books/details/Stephen_King_11_22_63?id=MJNi0uU8kdoC,$17.37,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780451933027,,
Snow Falling on Cedars,9780679764021,https://dj6cnfthgyqas.cloudfront.net/067976402X-original.jpg,$10.29,https://play.google.com/store/books/details/David_Guterson_Snow_Falling_on_Cedars?id=fUcYLRN8smcC,$10.43,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679764021,$16.00,http://www.indiebound.org/book/9780679764021?aff=rifflebooks
Midnight in the Garden of Good and Evil,9780679751526,https://dj6cnfthgyqas.cloudfront.net/0679751521-original.jpg,$13.99,https://play.google.com/store/books/details/John_Berendt_Midnight_in_the_Garden_of_Good_and_Ev?id=YjxITJFUDhoC,$12.83,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679751526,$16.95,http://www.indiebound.org/book/9780679751526?aff=rifflebooks
Blindness,9780156007757,https://dj6cnfthgyqas.cloudfront.net/0156007754-original.jpg,$11.96,https://play.google.com/store/books/details/Jos%C3%A9_Saramago_Blindness?id=WT1nA87biBoC,$10.57,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780156007757,$15.99,http://www.indiebound.org/book/9780156007757?aff=rifflebooks
Into the Wild,9780385486804,https://dj6cnfthgyqas.cloudfront.net/0385486804-original.jpg,$13.99,https://play.google.com/store/books/details/Jon_Krakauer_Into_the_Wild?id=waBwNtI6rSwC,$10.27,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385486804,$15.00,http://www.indiebound.org/book/9780385486804?aff=rifflebooks
The Wind-Up Bird Chronicle,9780965341981,https://dj6cnfthgyqas.cloudfront.net/0965341984-original.jpg,$14.99,https://play.google.com/store/books/details/Haruki_Murakami_The_Wind_Up_Bird_Chronicle?id=A_mQPAqfte8C,,,,
Infinite Jest,9780316921176,https://dj6cnfthgyqas.cloudfront.net/0316921173-original.jpg,$16.99,https://play.google.com/store/books/details/David_Foster_Wallace_Infinite_Jest?id=Nhe2yvx6hP8C,$13.53,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316921176,,
The Red Tent,9780312353766,https://dj6cnfthgyqas.cloudfront.net/0312353766-original.jpg,$10.99,https://play.google.com/store/books/details/Anita_Diamant_The_Red_Tent_20th_Anniversary_Editio?id=5hcdO0pDtY8C,$16.46,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312353766,$16.95,http://www.indiebound.org/book/9780312353766?aff=rifflebooks
White Oleander,9780316182546,https://dj6cnfthgyqas.cloudfront.net/0316182540-original.jpg,$12.99,https://play.google.com/store/books/details/Janet_Fitch_White_Oleander?id=MulNRdtMx9YC,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316182546,$7.99,http://www.indiebound.org/book/9780316182546?aff=rifflebooks
High Fidelity,9781573225519,https://dj6cnfthgyqas.cloudfront.net/1573225517-original.jpg,$13.99,https://play.google.com/store/books/details/Nick_Hornby_High_Fidelity?id=k3ZtZcOnWrsC,$13.60,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781573225519,$16.00,http://www.indiebound.org/book/9781573225519?aff=rifflebooks
"The Notebook (The Notebook, #1)",9780553816716,https://dj6cnfthgyqas.cloudfront.net/0553816713-original.jpg,$3.99,https://play.google.com/store/movies/details/The_Notebook?id=UxO2sMPdbc4,,,,
"Guns, Germs, and Steel: The Fates of Human Societies",9780739467350,,,,,,,
Tuesdays with Morrie,9780751529814,https://dj6cnfthgyqas.cloudfront.net/0751529818-original.jpg,$13.99,https://play.google.com/store/books/details/Mitch_Albom_Tuesdays_with_Morrie?id=z2z_6hLoPmgC,,,,
"Oh, The Places You'll Go!",9780679805274,https://dj6cnfthgyqas.cloudfront.net/0679805273-original.jpg,$10.99,https://play.google.com/store/books/details/Dr_Seuss_Oh_the_Places_You_ll_Go?id=1q_xAwAAQBAJ,$16.20,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679805274,$18.99,http://www.indiebound.org/book/9780679805274?aff=rifflebooks
Stardust,9780061142024,https://dj6cnfthgyqas.cloudfront.net/0061142026-original.jpg,$11.99,https://play.google.com/store/books/details/Neil_Gaiman_Stardust?id=kiTMrbIkSWkC,$12.08,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780061142024,$15.99,http://www.indiebound.org/book/9780061142024?aff=rifflebooks
Cold Mountain,9780802142849,https://dj6cnfthgyqas.cloudfront.net/0802142842-original.jpg,$9.99,https://play.google.com/store/books/details/Charles_Frazier_Cold_Mountain?id=L9ve3Zz__1cC,$9.76,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780802142849,$16.00,http://www.indiebound.org/book/9780802142849?aff=rifflebooks
The English Patient,9780771068713,https://dj6cnfthgyqas.cloudfront.net/0771068719-original.jpg,$12.99,https://play.google.com/store/books/details/Michael_Ondaatje_The_English_Patient?id=Nrf6lcclENUC,$0.00,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780771068713,,
The Reader,9780375408267,https://dj6cnfthgyqas.cloudfront.net/0375408266-original.jpg,$10.99,https://play.google.com/store/books/details/Bernhard_Schlink_The_Reader?id=2JYJicwT84cC,$20.24,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375408267,,
The Firm,9780582418271,https://dj6cnfthgyqas.cloudfront.net/0582418275-original.jpg,$13.99,https://play.google.com/store/books/details/Duff_McDonald_The_Firm?id=RrSTRTcdS4kC,$9.27,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780582418271,,
Into Thin Air: A Personal Account of the Mount Everest Disaster,9780385494786,https://dj6cnfthgyqas.cloudfront.net/0385494785-original.jpg,$13.99,https://play.google.com/store/books/details/Jon_Krakauer_Into_Thin_Air?id=gt7EQgH8-b4C,$11.41,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385494786,$16.00,http://www.indiebound.org/book/9780385494786?aff=rifflebooks
She's Come Undone,9780671021009,https://dj6cnfthgyqas.cloudfront.net/0671021001-original.jpg,$8.99,https://play.google.com/store/books/details/Wally_Lamb_She_s_Come_Undone?id=o447RLwrcgIC,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780671021009,$7.99,http://www.indiebound.org/book/9780671021009?aff=rifflebooks
