"Book Title","ISBN","Amazon URL","GoodReads Description"
"The Catcher in the Rye","9780316769174","https://www.goodreads.com/buy_buttons/12/follow?book_id=5107&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read."
"Fahrenheit 451","9780307347978","https://www.goodreads.com/buy_buttons/15/follow?book_id=4381&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","Fahrenheit 451 ofrece la historia de un sombrÃ­o y horroroso futuro. Montag, el protagonista, pertenece a una extraÃ±a brigada de bomberos cuya misiÃ³n, paradÃ³jicamente, no es la de sofocar incendios sino la de provocarlos, para quemar libros. Porque en el paÃ­s de Montag estÃ¡ terminantemente prohibido leer. Porque leer obliga a pensar, y en el paÃ­s de Montag esta prohibido pensar. Porque leer impide ser ingenuamente feliz, y en el paÃ­s de Montag hay que ser feliz a la fuerza..."
"Charlotte's Web","9780064410939","https://www.goodreads.com/buy_buttons/12/follow?book_id=24178&ref=x_gr_w_bb&tag=x_gr_w_bb-20","This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams, the acclaimed illustrator of E. B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.--harpercollins.com"
"Lord of the Flies","9780140283334","https://www.goodreads.com/buy_buttons/12/follow?book_id=7624&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The book focuses on a group of British boys stranded on an uninhabited island and their disastrous attempt to govern themselves."
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","9780060764890","https://www.goodreads.com/buy_buttons/12/follow?book_id=100915&ref=x_gr_e_nl_general_sout_bb&tag=x_gr_e_nl_general_sout_bb-20","They open a door and enter a world NARNIA...the land beyond the wardrobe, the secret country known only to Peter, Susan, Edmund, and Lucy...the place where the adventure begins. Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first, no one believes her when she tells of her adventures in the land of Narnia. But soon Edmund and then Peter and Susan discover the Magic and meet Aslan, the Great Lion, for themselves. In the blink of an eye, their lives are changed forever."
"Lolita","-1","https://www.goodreads.com/buy_buttons/12/follow?book_id=7604&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust."
"The Old Man and the Sea","9780684830490","https://www.goodreads.com/buy_buttons/6/follow?book_id=2165","It is the story of an old Cuban fisherman and his supreme ordeal: a relentless, agonizing battle with a giant marlin far out in the Gulf Stream. Using the simple, powerful language of a fable, Hemingway takes the timeless themes of courage in the face of defeat and personal triumph won from loss and transforms them into a magnificent twentieth-century classic."
"East of Eden","9780142000656","https://www.goodreads.com/buy_buttons/12/follow?book_id=4406&ref=x_gr_w_bb&tag=x_gr_w_bb-20","In his journal, Nobel Prize winner John Steinbeck called East of Eden âthe first book,â and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of Californiaâs Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two familiesâthe Trasks and the Hamiltonsâwhose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy trhives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness.First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the enecplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.--jacket flap"
"Night (The Night Trilogy #1)","9780374500016","https://www.goodreads.com/buy_buttons/12/follow?book_id=1617&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Born into a Jewish ghetto in Hungary, as a child, Elie Wiesel was sent to the Nazi concentration camps at Auschwitz and Buchenwald. This is his account of that atrocity: the ever-increasing horrors he endured, the loss of his family and his struggle to survive in a world that stripped him of humanity, dignity and faith. Describing in simple terms the tragic murder of a people from a survivor's perspective, Night is among the most personal, intimate and poignant of all accounts of the Holocaust. A compelling consideration of the darkest side of human nature and the enduring power of hope, it remains one of the most important works of the twentieth century.
  New translation by Marion Wiesel, with a new introduction by Elie Wiesel."
"The Fellowship of the Ring (The Lord of the Rings, #1)","9780618346257","https://www.goodreads.com/buy_buttons/14/follow?book_id=34&ref=x_gr_w_bb&tag=x_gr_w_bb-20","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose."
