Book Title,Book ISBN,Book URL,Amazon Price,R1 Title,R1 URL,R2 Title,R2 URL,R3 Title,R3 URL,R4 Title,R4 URL,R5 Title,R5 URL,,,,,
The Catcher in the Rye,9780316769174,https://www.goodreads.com/buy_buttons/12/follow?book_id=5107&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$8.99,To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0060935464/ref=pd_sim_14_1/133-1125285-8751706?_encoding=UTF8&pd_rd_i=0060935464&pd_rd_r=RVZ6C4XHXNERB821XBFA&pd_rd_w=otspv&pd_rd_wg=hrVQ5&psc=1&refRID=RVZ6C4XHXNERB821XBFA,Franny and Zooey,https://www.amazon.com/Franny-Zooey-J-D-Salinger/dp/0316769029/ref=pd_sim_14_2/133-1125285-8751706?_encoding=UTF8&pd_rd_i=0316769029&pd_rd_r=RVZ6C4XHXNERB821XBFA&pd_rd_w=otspv&pd_rd_wg=hrVQ5&psc=1&refRID=RVZ6C4XHXNERB821XBFA,Lord of the Flies,https://www.amazon.com/Lord-Flies-William-Golding/dp/1573226122/ref=pd_sim_14_3/133-1125285-8751706?_encoding=UTF8&pd_rd_i=1573226122&pd_rd_r=RVZ6C4XHXNERB821XBFA&pd_rd_w=otspv&pd_rd_wg=hrVQ5&psc=1&refRID=RVZ6C4XHXNERB821XBFA,Nine Stories,https://www.amazon.com/Nine-Stories-J-D-Salinger/dp/0316767727/ref=pd_sim_14_4/133-1125285-8751706?_encoding=UTF8&pd_rd_i=0316767727&pd_rd_r=RVZ6C4XHXNERB821XBFA&pd_rd_w=otspv&pd_rd_wg=hrVQ5&psc=1&refRID=RVZ6C4XHXNERB821XBFA,The Grapes of Wrath,https://www.amazon.com/Grapes-Wrath-John-Steinbeck/dp/0143039431/ref=pd_sim_14_5/133-1125285-8751706?_encoding=UTF8&pd_rd_i=0143039431&pd_rd_r=RVZ6C4XHXNERB821XBFA&pd_rd_w=otspv&pd_rd_wg=hrVQ5&psc=1&refRID=RVZ6C4XHXNERB821XBFA,,,,,
Fahrenheit 451,9780307347978,https://www.goodreads.com/buy_buttons/15/follow?book_id=4381&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,$8.95,Fahrenheit 451,https://www.amazon.com/Fahrenheit-451-Ray-Bradbury/dp/1451673310/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1451673310&pd_rd_r=4XJ5GBM8C8W0J3GZPTXK&pd_rd_w=IW2lG&pd_rd_wg=yImkT&psc=1&refRID=4XJ5GBM8C8W0J3GZPTXK,1984 (Contemporanea (Debolsillo)) (Spanish Edition),https://www.amazon.com/Contemporanea-Debolsillo-Spanish-George-Orwell/dp/8499890946/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=8499890946&pd_rd_r=4XJ5GBM8C8W0J3GZPTXK&pd_rd_w=IW2lG&pd_rd_wg=yImkT&psc=1&refRID=4XJ5GBM8C8W0J3GZPTXK,Fahrenheit 451 SparkNotes Literature Guide (SparkNotes…,https://www.amazon.com/Fahrenheit-451-SparkNotes-Literature-Guide/dp/1411469534/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1411469534&pd_rd_r=4XJ5GBM8C8W0J3GZPTXK&pd_rd_w=IW2lG&pd_rd_wg=yImkT&psc=1&refRID=4XJ5GBM8C8W0J3GZPTXK,Un mundo felíz (Spanish Edition),https://www.amazon.com/mundo-fel%C3%ADz-Spanish-Aldous-Huxley/dp/8497594258/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=8497594258&pd_rd_r=4XJ5GBM8C8W0J3GZPTXK&pd_rd_w=IW2lG&pd_rd_wg=yImkT&psc=1&refRID=4XJ5GBM8C8W0J3GZPTXK,Matar a un ruiseñor (To Kill a Mockingbird - Spanish Edition),https://www.amazon.com/Matar-ruise%C3%B1or-Kill-Mockingbird-Spanish/dp/0718076370/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0718076370&pd_rd_r=4XJ5GBM8C8W0J3GZPTXK&pd_rd_w=IW2lG&pd_rd_wg=yImkT&psc=1&refRID=4XJ5GBM8C8W0J3GZPTXK,,,,,
Charlotte's Web,9780064410939,https://www.goodreads.com/buy_buttons/12/follow?book_id=24178&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$6.29,Stuart Little,https://www.amazon.com/Stuart-Little-B-White/dp/0064400565/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0064400565&pd_rd_r=YHV5FAZHX62GBDKYFKBA&pd_rd_w=FZSqd&pd_rd_wg=Cw16V&psc=1&refRID=YHV5FAZHX62GBDKYFKBA,Pippi Longstocking,https://www.amazon.com/Pippi-Longstocking-Astrid-Lindgren/dp/0142402494/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0142402494&pd_rd_r=YHV5FAZHX62GBDKYFKBA&pd_rd_w=FZSqd&pd_rd_wg=Cw16V&psc=1&refRID=YHV5FAZHX62GBDKYFKBA,The One and Only Ivan,https://www.amazon.com/One-Only-Ivan-Katherine-Applegate/dp/0061992275/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0061992275&pd_rd_r=YHV5FAZHX62GBDKYFKBA&pd_rd_w=FZSqd&pd_rd_wg=Cw16V&psc=1&refRID=YHV5FAZHX62GBDKYFKBA,Charlie and the Chocolate Factory,https://www.amazon.com/Charlie-Chocolate-Factory-Roald-Dahl/dp/0142410314/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0142410314&pd_rd_r=YHV5FAZHX62GBDKYFKBA&pd_rd_w=FZSqd&pd_rd_wg=Cw16V&psc=1&refRID=YHV5FAZHX62GBDKYFKBA,Matilda,https://www.amazon.com/Matilda-Roald-Dahl/dp/0142410373/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0142410373&pd_rd_r=YHV5FAZHX62GBDKYFKBA&pd_rd_w=FZSqd&pd_rd_wg=Cw16V&psc=1&refRID=YHV5FAZHX62GBDKYFKBA,,,,,
Lord of the Flies,9780140283334,https://www.goodreads.com/buy_buttons/12/follow?book_id=7624&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$9.78,Lord of the Flies SparkNotes Literature Guide (SparkNotes…,https://www.amazon.com/Lord-Flies-SparkNotes-Literature-Guide/dp/1411469860/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1411469860&pd_rd_r=AMMMYEB04JM91TSEN1XY&pd_rd_w=EDS27&pd_rd_wg=z5glz&psc=1&refRID=AMMMYEB04JM91TSEN1XY,The Catcher in the Rye,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769177/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0316769177&pd_rd_r=AMMMYEB04JM91TSEN1XY&pd_rd_w=EDS27&pd_rd_wg=z5glz&psc=1&refRID=AMMMYEB04JM91TSEN1XY,To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0060935464/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0060935464&pd_rd_r=AMMMYEB04JM91TSEN1XY&pd_rd_w=EDS27&pd_rd_wg=z5glz&psc=1&refRID=AMMMYEB04JM91TSEN1XY,1984,https://www.amazon.com/1984-George-Orwell/dp/0452284236/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0452284236&pd_rd_r=AMMMYEB04JM91TSEN1XY&pd_rd_w=EDS27&pd_rd_wg=z5glz&psc=1&refRID=AMMMYEB04JM91TSEN1XY,Animal Farm,https://www.amazon.com/Animal-Farm-George-Orwell/dp/8187138750/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=8187138750&pd_rd_r=AMMMYEB04JM91TSEN1XY&pd_rd_w=EDS27&pd_rd_wg=z5glz&psc=1&refRID=AMMMYEB04JM91TSEN1XY,,,,,
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",9780060764890,https://www.goodreads.com/buy_buttons/12/follow?book_id=100915&ref=x_gr_e_nl_general_sout_bb&tag=x_gr_e_nl_general_sout_bb-20,$6.00,Pinocchio (Puffin Classics),https://www.amazon.com/Pinocchio-Puffin-Classics-Carlo-Collodi/dp/014133164X/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=014133164X&pd_rd_r=8MGT2GMEQBMY9E5KN74Y&pd_rd_w=SvD62&pd_rd_wg=dQDFR&psc=1&refRID=8MGT2GMEQBMY9E5KN74Y,The Magician's Nephew,https://www.amazon.com/Magicians-Nephew-C-S-Lewis/dp/0064471101/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0064471101&pd_rd_r=8MGT2GMEQBMY9E5KN74Y&pd_rd_w=SvD62&pd_rd_wg=dQDFR&psc=1&refRID=8MGT2GMEQBMY9E5KN74Y,"Little House on the Prairie (Little House, No 3)",https://www.amazon.com/Little-House-Prairie-No/dp/0064400026/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0064400026&pd_rd_r=8MGT2GMEQBMY9E5KN74Y&pd_rd_w=SvD62&pd_rd_wg=dQDFR&psc=1&refRID=8MGT2GMEQBMY9E5KN74Y,"The Jungle Book (Illustrated by John L. Kipling, William H.…",https://www.amazon.com/Jungle-Illustrated-Kipling-William-Frenzeny/dp/1420954504/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1420954504&pd_rd_r=8MGT2GMEQBMY9E5KN74Y&pd_rd_w=SvD62&pd_rd_wg=dQDFR&psc=1&refRID=8MGT2GMEQBMY9E5KN74Y,The Real Thief,https://www.amazon.com/Real-Thief-William-Steig/dp/0312371454/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0312371454&pd_rd_r=8MGT2GMEQBMY9E5KN74Y&pd_rd_w=SvD62&pd_rd_wg=dQDFR&psc=1&refRID=8MGT2GMEQBMY9E5KN74Y,,,,,
Lolita,-1,https://www.goodreads.com/buy_buttons/12/follow?book_id=7604&ref=x_gr_w_bb&tag=x_gr_w_bb-20,,,,,,,,,,,,,,,,
The Old Man and the Sea,9780684830490,https://www.goodreads.com/buy_buttons/6/follow?book_id=2165,,,,,,,,,,,,,,,,
East of Eden,9780142000656,https://www.goodreads.com/buy_buttons/12/follow?book_id=4406&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$14.99,The Grapes of Wrath,https://www.amazon.com/Grapes-Wrath-John-Steinbeck/dp/0143039431/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0143039431&pd_rd_r=3C5BQDJRRVPK71HBP7CA&pd_rd_w=TXoOm&pd_rd_wg=VCFyp&psc=1&refRID=3C5BQDJRRVPK71HBP7CA,The Short Novels of John Steinbeck: (Penguin Classics Deluxe Edition),https://www.amazon.com/Short-Novels-John-Steinbeck-Classics/dp/0143105779/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0143105779&pd_rd_r=3C5BQDJRRVPK71HBP7CA&pd_rd_w=TXoOm&pd_rd_wg=VCFyp&psc=1&refRID=3C5BQDJRRVPK71HBP7CA,Cannery Row: (Centennial Edition),https://www.amazon.com/Cannery-Row-Centennial-John-Steinbeck/dp/014200068X/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=014200068X&pd_rd_r=3C5BQDJRRVPK71HBP7CA&pd_rd_w=TXoOm&pd_rd_wg=VCFyp&psc=1&refRID=3C5BQDJRRVPK71HBP7CA,Of Mice and Men,https://www.amazon.com/Mice-Men-John-Steinbeck/dp/0140177396/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140177396&pd_rd_r=3C5BQDJRRVPK71HBP7CA&pd_rd_w=TXoOm&pd_rd_wg=VCFyp&psc=1&refRID=3C5BQDJRRVPK71HBP7CA,To a God Unknown (Penguin Classics),https://www.amazon.com/God-Penguin-Classics-John-Steinbeck/dp/0140187510/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0140187510&pd_rd_r=3C5BQDJRRVPK71HBP7CA&pd_rd_w=TXoOm&pd_rd_wg=VCFyp&psc=1&refRID=3C5BQDJRRVPK71HBP7CA,,,,,
Night (The Night Trilogy #1),9780374500016,https://www.goodreads.com/buy_buttons/12/follow?book_id=1617&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$5.90,Night SparkNotes Literature Guide (SparkNotes Literature…,https://www.amazon.com/Night-SparkNotes-Literature-Guide/dp/1411469704/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1411469704&pd_rd_r=6M8PNTJ6HC8DRPWFQNDZ&pd_rd_w=vxr4R&pd_rd_wg=FsKeb&psc=1&refRID=6M8PNTJ6HC8DRPWFQNDZ,Day: A Novel,https://www.amazon.com/Day-Novel-Elie-Wiesel/dp/0809023091/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0809023091&pd_rd_r=6M8PNTJ6HC8DRPWFQNDZ&pd_rd_w=vxr4R&pd_rd_wg=FsKeb&psc=1&refRID=6M8PNTJ6HC8DRPWFQNDZ,Dawn,https://www.amazon.com/Dawn-Elie-Wiesel/dp/0809037726/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0809037726&pd_rd_r=6M8PNTJ6HC8DRPWFQNDZ&pd_rd_w=vxr4R&pd_rd_wg=FsKeb&psc=1&refRID=6M8PNTJ6HC8DRPWFQNDZ,The Book Thief,https://www.amazon.com/Book-Thief-Markus-Zusak/dp/0375842209/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0375842209&pd_rd_r=6M8PNTJ6HC8DRPWFQNDZ&pd_rd_w=vxr4R&pd_rd_wg=FsKeb&psc=1&refRID=6M8PNTJ6HC8DRPWFQNDZ,The World Must Know: The History of the Holocaust as Told in the United…,https://www.amazon.com/World-Must-Know-Holocaust-Memorial/dp/080188358X/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=080188358X&pd_rd_r=6M8PNTJ6HC8DRPWFQNDZ&pd_rd_w=vxr4R&pd_rd_wg=FsKeb&psc=1&refRID=6M8PNTJ6HC8DRPWFQNDZ,,,,,
"The Fellowship of the Ring (The Lord of the Rings, #1)",9780618346257,https://www.goodreads.com/buy_buttons/14/follow?book_id=34&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$17.20,The Two Towers: Being the Second Part of The Lord of the Rings,https://www.amazon.com/Two-Towers-Being-Second-Rings/dp/0547928203/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0547928203&pd_rd_r=4YWN5V2GF0984YPYVP8B&pd_rd_w=DuRnY&pd_rd_wg=llqDW&psc=1&refRID=4YWN5V2GF0984YPYVP8B,The Return of the King: Being the Third Part of the Lord of the Rings,https://www.amazon.com/Return-King-Being-Third-Rings/dp/054792819X/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=054792819X&pd_rd_r=4YWN5V2GF0984YPYVP8B&pd_rd_w=DuRnY&pd_rd_wg=llqDW&psc=1&refRID=4YWN5V2GF0984YPYVP8B,The Hobbit,https://www.amazon.com/Hobbit-J-R-Tolkien/dp/054792822X/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=054792822X&pd_rd_r=4YWN5V2GF0984YPYVP8B&pd_rd_w=DuRnY&pd_rd_wg=llqDW&psc=1&refRID=4YWN5V2GF0984YPYVP8B,The Silmarillion,https://www.amazon.com/Silmarillion-J-R-R-Tolkien/dp/0544338014/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0544338014&pd_rd_r=4YWN5V2GF0984YPYVP8B&pd_rd_w=DuRnY&pd_rd_wg=llqDW&psc=1&refRID=4YWN5V2GF0984YPYVP8B,Unfinished Tales of Númenor and Middle-earth,https://www.amazon.com/Unfinished-N%C3%BAmenor-Middle-earth-J-R-R-Tolkien/dp/0544337999/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0544337999&pd_rd_r=4YWN5V2GF0984YPYVP8B&pd_rd_w=DuRnY&pd_rd_wg=llqDW&psc=1&refRID=4YWN5V2GF0984YPYVP8B,,,,,
