Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
The Catcher in the Rye,9780316769174,https://dj6cnfthgyqas.cloudfront.net/0316769487-original.jpg,$25.76,https://play.google.com/store/books/details/Sarah_Graham_J_D_Salinger_s_The_Catcher_in_the_Rye?id=tNJ-AgAAQBAJ,$9.44,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316769174,$15.00,http://www.indiebound.org/book/9780316769174?aff=rifflebooks
Fahrenheit 451,9780307347978,https://dj6cnfthgyqas.cloudfront.net/0307347974-original.jpg,$12.99,https://play.google.com/store/books/details/Ray_Bradbury_Fahrenheit_451?id=OYtkbGl2j0sC,$8.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307347978,$8.95,http://www.indiebound.org/book/9780307347978?aff=rifflebooks
Charlotte's Web,9780064410939,https://dj6cnfthgyqas.cloudfront.net/0064410935-original.jpg,$9.99,https://play.google.com/store/books/details/E_B_White_Charlotte_s_Web?id=WwN4BgAAQBAJ,$9.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780064410939,$9.99,http://www.indiebound.org/book/9780064410939?aff=rifflebooks
Lord of the Flies,9780140283334,https://dj6cnfthgyqas.cloudfront.net/0140283331-original.jpg,$9.99,https://play.google.com/store/books/details/William_Golding_Lord_of_the_Flies?id=DKU1EsmnpMQC,$10.64,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140283334,$16.00,http://www.indiebound.org/book/9780140283334?aff=rifflebooks
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",9780060764890,https://dj6cnfthgyqas.cloudfront.net/0060764899-original.jpg,,,$8.49,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060764890,$10.95,http://www.indiebound.org/book/9780060764890?aff=rifflebooks
Lolita,-1,,$13.99,https://play.google.com/store/books/details/Vladimir_Nabokov_Lolita?id=utvB0I_0SZsC,,,,
The Old Man and the Sea,9780684830490,https://dj6cnfthgyqas.cloudfront.net/0684830493-original.jpg,$16.99,https://play.google.com/store/books/details/Ernest_Hemingway_The_Old_Man_and_the_Sea?id=Id8GTFqSRHwC,$15.10,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780684830490,$20.00,http://www.indiebound.org/book/9780684830490?aff=rifflebooks
East of Eden,9780142000656,https://dj6cnfthgyqas.cloudfront.net/B001BC5HXG-original.jpg,$13.99,https://play.google.com/store/books/details/John_Steinbeck_East_of_Eden?id=OPy6E5ZhXs0C,$11.67,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780142000656,$17.00,http://www.indiebound.org/book/9780142000656?aff=rifflebooks
Night (The Night Trilogy #1),9780374500016,https://dj6cnfthgyqas.cloudfront.net/0374500010-original.jpg,,,$6.27,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780374500016,$9.95,http://www.indiebound.org/book/9780374500016?aff=rifflebooks
"The Fellowship of the Ring (The Lord of the Rings, #1)",9780618346257,https://dj6cnfthgyqas.cloudfront.net/0618346252-original.jpg,$10.95,https://play.google.com/store/audiobooks/details/J_R_R_Tolkien_The_Lord_of_the_Rings_The_Fellowship?id=AQAAAABXel16GM,$8.68,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780618346257,$12.00,http://www.indiebound.org/book/9780618346257?aff=rifflebooks
