Book Title,Book ISBN,Book URL,Amazon Price,R1 Title,R1 URL,R2 Title,R2 URL,R3 Title,R3 URL,R4 Title,R4 URL,R5 Title,R5 URL
Crime and Punishment,9780143058144,https://www.goodreads.com/buy_buttons/12/follow?book_id=7144&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$3.99,War and Peace (Vintage Classics),https://www.amazon.com/War-Peace-Vintage-Classics-Tolstoy/dp/1400079985/ref=pd_sim_14_1/146-9672019-9686646?_encoding=UTF8&pd_rd_i=1400079985&pd_rd_r=M84EFACJ8MBVSWPGNQ02&pd_rd_w=IfxNt&pd_rd_wg=prCTa&psc=1&refRID=M84EFACJ8MBVSWPGNQ02,To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0061808121/ref=pd_sim_14_2/146-9672019-9686646?_encoding=UTF8&pd_rd_i=0061808121&pd_rd_r=M84EFACJ8MBVSWPGNQ02&pd_rd_w=IfxNt&pd_rd_wg=prCTa&psc=1&refRID=M84EFACJ8MBVSWPGNQ02,The Sun Also Rises,https://www.amazon.com/Sun-Also-Rises-Ernest-Hemingway/dp/0743564413/ref=pd_sim_14_3/146-9672019-9686646?_encoding=UTF8&pd_rd_i=0743564413&pd_rd_r=M84EFACJ8MBVSWPGNQ02&pd_rd_w=IfxNt&pd_rd_wg=prCTa&psc=1&refRID=M84EFACJ8MBVSWPGNQ02,1177 B.C.: The Year Civilization Collapsed,https://www.amazon.com/1177-B-C-Year-Civilization-Collapsed/dp/1491581433/ref=pd_sim_14_4/146-9672019-9686646?_encoding=UTF8&pd_rd_i=1491581433&pd_rd_r=M84EFACJ8MBVSWPGNQ02&pd_rd_w=IfxNt&pd_rd_wg=prCTa&psc=1&refRID=M84EFACJ8MBVSWPGNQ02,A Tale of Two Cities and Great Expectations: Two Novels,https://www.amazon.com/Tale-Two-Cities-Great-Expectations/dp/145581234X/ref=pd_sim_14_5/146-9672019-9686646?_encoding=UTF8&pd_rd_i=145581234X&pd_rd_r=M84EFACJ8MBVSWPGNQ02&pd_rd_w=IfxNt&pd_rd_wg=prCTa&psc=1&refRID=M84EFACJ8MBVSWPGNQ02
"Little Women (Little Women, #1)",9780451529305,https://www.goodreads.com/buy_buttons/12/follow?book_id=1934&ref=x_gr_e_d_bp_default_sout_bb&tag=x_gr_e_d_bp_default_sout_bb-20,$3.56,A Little Princess (Puffin Classics) by Frances Hodgson Burnett (2008…,https://www.amazon.com/Princess-Classics-Frances-Hodgson-2008-03-27/dp/B01N8XVHMO/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=B01N8XVHMO&pd_rd_r=9TERBBZRC1DJMJRCXV2W&pd_rd_w=8I2Yt&pd_rd_wg=5IWBW&psc=1&refRID=9TERBBZRC1DJMJRCXV2W,The Voyages of Doctor Dolittle,https://www.amazon.com/Voyages-Doctor-Dolittle-Hugh-Lofting/dp/0440400023/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0440400023&pd_rd_r=9TERBBZRC1DJMJRCXV2W&pd_rd_w=8I2Yt&pd_rd_wg=5IWBW&psc=1&refRID=9TERBBZRC1DJMJRCXV2W,Oliver Twist (Enriched Classics),https://www.amazon.com/Oliver-Enriched-Classics-Charles-Dickens/dp/141653475X/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=141653475X&pd_rd_r=9TERBBZRC1DJMJRCXV2W&pd_rd_w=8I2Yt&pd_rd_wg=5IWBW&psc=1&refRID=9TERBBZRC1DJMJRCXV2W,The Sign of Four (Penguin Classics),https://www.amazon.com/Sign-Four-Penguin-Classics/dp/0140439072/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140439072&pd_rd_r=9TERBBZRC1DJMJRCXV2W&pd_rd_w=8I2Yt&pd_rd_wg=5IWBW&psc=1&refRID=9TERBBZRC1DJMJRCXV2W,Jane Eyre (Signet Classics),https://www.amazon.com/Jane-Signet-Classics-Charlotte-Bronte/dp/0451530918/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0451530918&pd_rd_r=9TERBBZRC1DJMJRCXV2W&pd_rd_w=8I2Yt&pd_rd_wg=5IWBW&psc=1&refRID=9TERBBZRC1DJMJRCXV2W
Great Expectations,9780192833594,https://www.goodreads.com/buy_buttons/15/follow?book_id=2623&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,$6.75,Oliver Twist (Penguin Classics),https://www.amazon.com/Oliver-Penguin-Classics-Charles-Dickens/dp/0141439742/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0141439742&pd_rd_r=NEVEERSD5QTWJ4KEFFKJ&pd_rd_w=X0bB8&pd_rd_wg=OF1tD&psc=1&refRID=NEVEERSD5QTWJ4KEFFKJ,David Copperfield (Penguin Classics),https://www.amazon.com/Copperfield-Penguin-Classics-Charles-Dickens/dp/0140439447/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0140439447&pd_rd_r=NEVEERSD5QTWJ4KEFFKJ&pd_rd_w=X0bB8&pd_rd_wg=OF1tD&psc=1&refRID=NEVEERSD5QTWJ4KEFFKJ,Wuthering Heights (Penguin Classics),https://www.amazon.com/Wuthering-Heights-Penguin-Classics-Bront%C3%AB/dp/0141439556/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0141439556&pd_rd_r=NEVEERSD5QTWJ4KEFFKJ&pd_rd_w=X0bB8&pd_rd_wg=OF1tD&psc=1&refRID=NEVEERSD5QTWJ4KEFFKJ,A Tale of Two Cities (Dover Thrift Editions),https://www.amazon.com/Tale-Cities-Dover-Thrift-Editions/dp/0486406512/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0486406512&pd_rd_r=NEVEERSD5QTWJ4KEFFKJ&pd_rd_w=X0bB8&pd_rd_wg=OF1tD&psc=1&refRID=NEVEERSD5QTWJ4KEFFKJ,Jane Eyre (Bantam Classics),https://www.amazon.com/Jane-Bantam-Classics-Charlotte-Bronte/dp/0553211404/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0553211404&pd_rd_r=NEVEERSD5QTWJ4KEFFKJ&pd_rd_w=X0bB8&pd_rd_wg=OF1tD&psc=1&refRID=NEVEERSD5QTWJ4KEFFKJ
War and Peace,9780192833983,https://www.goodreads.com/buy_buttons/14/follow?book_id=656&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$1.80,Anna Karenina (Oxford World's Classics),https://www.amazon.com/Anna-Karenina-Oxford-Worlds-Classics/dp/0198748841/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0198748841&pd_rd_r=X1QQQRSMH191QN74H173&pd_rd_w=a8rnM&pd_rd_wg=kJPfP&psc=1&refRID=X1QQQRSMH191QN74H173,Russia Against Napoleon: The True Story of the Campaigns of War and…,https://www.amazon.com/Russia-Against-Napoleon-Story-Campaigns/dp/0143118862/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0143118862&pd_rd_r=X1QQQRSMH191QN74H173&pd_rd_w=a8rnM&pd_rd_wg=kJPfP&psc=1&refRID=X1QQQRSMH191QN74H173,Crime and Punishment,https://www.amazon.com/Crime-Punishment-Fyodor-Dostoyevsky/dp/0486415872/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0486415872&pd_rd_r=X1QQQRSMH191QN74H173&pd_rd_w=a8rnM&pd_rd_wg=kJPfP&psc=1&refRID=X1QQQRSMH191QN74H173,Defeat: Napoleon's Russian Campaign (New York Review Books…,https://www.amazon.com/Defeat-Napoleons-Russian-Campaign-Classics/dp/1590172825/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1590172825&pd_rd_r=X1QQQRSMH191QN74H173&pd_rd_w=a8rnM&pd_rd_wg=kJPfP&psc=1&refRID=X1QQQRSMH191QN74H173,Don Quixote de la Mancha (Oxford World's Classics),https://www.amazon.com/Quixote-Mancha-Oxford-Worlds-Classics/dp/0199537895/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0199537895&pd_rd_r=X1QQQRSMH191QN74H173&pd_rd_w=a8rnM&pd_rd_wg=kJPfP&psc=1&refRID=X1QQQRSMH191QN74H173
Les MisÃ©rables,9780451525260,https://www.goodreads.com/buy_buttons/12/follow?book_id=24280&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$31.99,The Hunchback of Notre-Dame (Wordsworth Classics) (Wordsworth…,https://www.amazon.com/Hunchback-Notre-Dame-Wordsworth-Classics-Collection/dp/1853260681/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1853260681&pd_rd_r=73E9ZVJHXWJ7E9YPSKHJ&pd_rd_w=FV8hN&pd_rd_wg=D2XDR&psc=1&refRID=73E9ZVJHXWJ7E9YPSKHJ,The Count of Monte Cristo (Bantam Classics),https://www.amazon.com/Count-Monte-Cristo-Bantam-Classics/dp/0553213504/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0553213504&pd_rd_r=73E9ZVJHXWJ7E9YPSKHJ&pd_rd_w=FV8hN&pd_rd_wg=D2XDR&psc=1&refRID=73E9ZVJHXWJ7E9YPSKHJ,Les Miserables: (French Edition),https://www.amazon.com/Miserables-French-Victor-Hugo/dp/1537034529/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1537034529&pd_rd_r=73E9ZVJHXWJ7E9YPSKHJ&pd_rd_w=FV8hN&pd_rd_wg=D2XDR&psc=1&refRID=73E9ZVJHXWJ7E9YPSKHJ,Les Misérables,https://www.amazon.com/Mis%C3%A9rables-Victor-Hugo/dp/0449300021/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0449300021&pd_rd_r=73E9ZVJHXWJ7E9YPSKHJ&pd_rd_w=FV8hN&pd_rd_wg=D2XDR&psc=1&refRID=73E9ZVJHXWJ7E9YPSKHJ,Les Misérables,https://www.amazon.com/Mis%C3%A9rables-Hugh-Jackman/dp/B005S9EK5Y/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=B005S9EK5Y&pd_rd_r=73E9ZVJHXWJ7E9YPSKHJ&pd_rd_w=FV8hN&pd_rd_wg=D2XDR&psc=1&refRID=73E9ZVJHXWJ7E9YPSKHJ
The Idiot,9780679642428,https://www.goodreads.com/buy_buttons/12/follow?book_id=12505&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$17.00,The Possessed (Barnes & Noble Classics),https://www.amazon.com/Possessed-Barnes-Noble-Classics/dp/1593082509/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1593082509&pd_rd_r=CX1S3DCG7EPNAX003WZX&pd_rd_w=C8jQQ&pd_rd_wg=08XWW&psc=1&refRID=CX1S3DCG7EPNAX003WZX,The Brothers Karamazov (Dover Thrift Editions),https://www.amazon.com/Brothers-Karamazov-Dover-Thrift-Editions/dp/0486437914/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0486437914&pd_rd_r=CX1S3DCG7EPNAX003WZX&pd_rd_w=C8jQQ&pd_rd_wg=08XWW&psc=1&refRID=CX1S3DCG7EPNAX003WZX,Crime and Punishment,https://www.amazon.com/Crime-Punishment-Fyodor-Dostoyevsky/dp/0486415872/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0486415872&pd_rd_r=CX1S3DCG7EPNAX003WZX&pd_rd_w=C8jQQ&pd_rd_wg=08XWW&psc=1&refRID=CX1S3DCG7EPNAX003WZX,"Notes from Underground, The Double and Other Stories (Barnes & Noble…",https://www.amazon.com/Underground-Double-Stories-Barnes-Classics/dp/1593081243/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1593081243&pd_rd_r=CX1S3DCG7EPNAX003WZX&pd_rd_w=C8jQQ&pd_rd_wg=08XWW&psc=1&refRID=CX1S3DCG7EPNAX003WZX,War and Peace (Modern Library Classics),https://www.amazon.com/War-Peace-Modern-Library-Classics/dp/0375760644/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0375760644&pd_rd_r=CX1S3DCG7EPNAX003WZX&pd_rd_w=C8jQQ&pd_rd_wg=08XWW&psc=1&refRID=CX1S3DCG7EPNAX003WZX
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",9780451529558,https://www.goodreads.com/buy_buttons/12/follow?book_id=17876&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$13.99,The Origin of Species (Revised Edition),https://www.amazon.com/Origin-Species-Revised-Charles-Darwin/dp/0393978672/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0393978672&pd_rd_r=KDE3SS0GRTJGQCEZ2AAS&pd_rd_w=5r0xp&pd_rd_wg=SU7q1&psc=1&refRID=KDE3SS0GRTJGQCEZ2AAS,Measure for Measure,https://www.amazon.com/Measure-William-Shakespeare/dp/1985648229/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=1985648229&pd_rd_r=KDE3SS0GRTJGQCEZ2AAS&pd_rd_w=5r0xp&pd_rd_wg=SU7q1&psc=1&refRID=KDE3SS0GRTJGQCEZ2AAS,On Christian Liberty (Facets),https://www.amazon.com/Christian-Liberty-Facets-Martin-Luther/dp/0800636074/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0800636074&pd_rd_r=KDE3SS0GRTJGQCEZ2AAS&pd_rd_w=5r0xp&pd_rd_wg=SU7q1&psc=1&refRID=KDE3SS0GRTJGQCEZ2AAS,A Short Account of the Destruction of the Indies,https://www.amazon.com/Short-Account-Destruction-Indies/dp/0140445625/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140445625&pd_rd_r=KDE3SS0GRTJGQCEZ2AAS&pd_rd_w=5r0xp&pd_rd_wg=SU7q1&psc=1&refRID=KDE3SS0GRTJGQCEZ2AAS,Selected Poems,https://www.amazon.com/Selected-Poems-Gwendolyn-Brooks/dp/0060882964/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0060882964&pd_rd_r=KDE3SS0GRTJGQCEZ2AAS&pd_rd_w=5r0xp&pd_rd_wg=SU7q1&psc=1&refRID=KDE3SS0GRTJGQCEZ2AAS
The Woman in White,9780141439617,https://www.goodreads.com/buy_buttons/12/follow?book_id=5890&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$9.50,The Moonstone (Penguin Classics),https://www.amazon.com/Moonstone-Penguin-Classics-Wilkie-Collins/dp/0140434089/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140434089&pd_rd_r=8SC8DBW1RZ3FHK9ES0AX&pd_rd_w=QIOaY&pd_rd_wg=n9mz1&psc=1&refRID=8SC8DBW1RZ3FHK9ES0AX,Lady Audley's Secret (Oxford World's Classics),https://www.amazon.com/Audleys-Secret-Oxford-Worlds-Classics/dp/019957703X/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=019957703X&pd_rd_r=8SC8DBW1RZ3FHK9ES0AX&pd_rd_w=QIOaY&pd_rd_wg=n9mz1&psc=1&refRID=8SC8DBW1RZ3FHK9ES0AX,Our Mutual Friend (Penguin Classics),https://www.amazon.com/Our-Mutual-Friend-Penguin-Classics/dp/0140434976/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0140434976&pd_rd_r=8SC8DBW1RZ3FHK9ES0AX&pd_rd_w=QIOaY&pd_rd_wg=n9mz1&psc=1&refRID=8SC8DBW1RZ3FHK9ES0AX,Evelina (Oxford World's Classics),https://www.amazon.com/Evelina-Oxford-Worlds-Classics-Frances/dp/0199536937/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0199536937&pd_rd_r=8SC8DBW1RZ3FHK9ES0AX&pd_rd_w=QIOaY&pd_rd_wg=n9mz1&psc=1&refRID=8SC8DBW1RZ3FHK9ES0AX,Lady Audley's Secret (Penguin Classics),https://www.amazon.com/Lady-Audleys-Secret-Penguin-Classics/dp/0140435840/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0140435840&pd_rd_r=8SC8DBW1RZ3FHK9ES0AX&pd_rd_w=QIOaY&pd_rd_wg=n9mz1&psc=1&refRID=8SC8DBW1RZ3FHK9ES0AX
Fathers and Sons,9780451529695,https://www.goodreads.com/buy_buttons/12/follow?book_id=19117&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$3.95,Village Life in Late Tsarist Russia (Indiana-Michigan Series in Russian and…,https://www.amazon.com/Village-Tsarist-Indiana-Michigan-Russian-European/dp/0253207843/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0253207843&pd_rd_r=KP1Y1RJGMJPJKVXRYY4N&pd_rd_w=qLVmJ&pd_rd_wg=4QDYW&psc=1&refRID=KP1Y1RJGMJPJKVXRYY4N,Peter The Great: The Classic Biography of Tsar Peter the Great,https://www.amazon.com/Peter-Great-Classic-Biography-Tsar/dp/0807056472/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0807056472&pd_rd_r=KP1Y1RJGMJPJKVXRYY4N&pd_rd_w=qLVmJ&pd_rd_wg=4QDYW&psc=1&refRID=KP1Y1RJGMJPJKVXRYY4N,A Russian Gentleman (The World's Classics),https://www.amazon.com/Russian-Gentleman-Worlds-Classics/dp/0192815733/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0192815733&pd_rd_r=KP1Y1RJGMJPJKVXRYY4N&pd_rd_w=qLVmJ&pd_rd_wg=4QDYW&psc=1&refRID=KP1Y1RJGMJPJKVXRYY4N,The Penguin Historical Atlas of Russia (Hist Atlas),https://www.amazon.com/Penguin-Historical-Atlas-Russia-Hist/dp/0140513264/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140513264&pd_rd_r=KP1Y1RJGMJPJKVXRYY4N&pd_rd_w=qLVmJ&pd_rd_wg=4QDYW&psc=1&refRID=KP1Y1RJGMJPJKVXRYY4N,A Hero of Our Time (Penguin Classics),https://www.amazon.com/Hero-Our-Time-Penguin-Classics/dp/0140447954/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0140447954&pd_rd_r=KP1Y1RJGMJPJKVXRYY4N&pd_rd_w=qLVmJ&pd_rd_wg=4QDYW&psc=1&refRID=KP1Y1RJGMJPJKVXRYY4N
Silas Marner,9781416500346,https://www.goodreads.com/buy_buttons/12/follow?book_id=54539&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$3.08,Varieties of Disturbance: Stories,https://www.amazon.com/Varieties-Disturbance-Stories-Lydia-Davis/dp/0374281734/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0374281734&pd_rd_r=08YTS6N3J15QW49F2TTD&pd_rd_w=0xX7E&pd_rd_wg=OvO1E&psc=1&refRID=08YTS6N3J15QW49F2TTD,Sour Heart: Stories,https://www.amazon.com/Sour-Heart-Stories-Jenny-Zhang/dp/0399589384/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0399589384&pd_rd_r=08YTS6N3J15QW49F2TTD&pd_rd_w=0xX7E&pd_rd_wg=OvO1E&psc=1&refRID=08YTS6N3J15QW49F2TTD,Poems,https://www.amazon.com/Poems-Elizabeth-Bishop/dp/0374532362/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0374532362&pd_rd_r=08YTS6N3J15QW49F2TTD&pd_rd_w=0xX7E&pd_rd_wg=OvO1E&psc=1&refRID=08YTS6N3J15QW49F2TTD,"Ariel: The Restored Edition: A Facsimile of Plath's Manuscript, Reinstating…",https://www.amazon.com/Ariel-Facsimile-Manuscript-Reinstating-Arrangement/dp/0060732601/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0060732601&pd_rd_r=08YTS6N3J15QW49F2TTD&pd_rd_w=0xX7E&pd_rd_wg=OvO1E&psc=1&refRID=08YTS6N3J15QW49F2TTD,Elements of Language: Student Edition Grade 9 2009,https://www.amazon.com/Elements-Language-Student-Grade-2009/dp/0030941954/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0030941954&pd_rd_r=08YTS6N3J15QW49F2TTD&pd_rd_w=0xX7E&pd_rd_wg=OvO1E&psc=1&refRID=08YTS6N3J15QW49F2TTD
