Book Title,ISBN,Amazon URL,GoodReads Description,Wikipedia Description,Readgeek Description,Riffle Description,Amazon Description
Crime and Punishment,9780143058144,https://www.goodreads.com/buy_buttons/12/follow?book_id=7144&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Raskolnikov, an impoverished student living in the St. Petersburg of the tsars, is determined to overreach his humanity and assert his untrammeled individual will. When he commits an act of murder and theft, he sets into motion a story that, for its excruciating suspense, its atmospheric vividness, and its depth of characterization and vision is almost unequaled in the literatures of the world. The best known of Dostoevskyâs masterpieces, Crime and Punishment can bear any amount of rereading without losing a drop of its power over our imaginations.Dostoevskyâs drama of sin, guilt, and redemption transforms the sordid story of an old womanâs murder into the nineteenth centuryâs profoundest and most compelling philosophical novel.Award-winning translators Richard Pevear and Larissa Volokhonsky render this elusive and wildly innovative novel with an energy, suppleness, and range of voice that do full justice to the genius of its creator.","Crime and Punishment (Russian: Преступлéние и наказáние, tr. Prestupleniye i nakazaniye, IPA: [prʲɪstʊˈplʲenʲɪje ɪ nəkɐˈzanʲɪje]) is a novel by the Russian author Fyodor Dostoevsky. It was first published in the literary journal The Russian Messenger in twelve monthly installments during 1866.[1] Later, it was published in a single volume. It is the second of Dostoevsky's full-length novels following his return from 5 years of exile in Siberia. Crime and Punishment is considered the first great novel of his ""mature"" period of writing.[2]","Few authors have been as personally familiar with desperation as Fyodor Dostoevsky, and none have been so adept at describing it. Crime and Punishment—the novel that heralded the author’s period of masterworks—tells the story of the poor and talented student Raskolnikov, a character of unparalleled psychological depth and complexity. Raskolnikov reasons that men like himself, by virtue of their intellectual superiority, can and must transcend societal law. To test his theory, he devises the perfect crime—the murder of a spiteful pawnbroker living in St. Petersburg.
In one of the most gripping crime stories of all time, Raskolnikov soon realizes the folly of his abstractions. Haunted by vivid hallucinations and the torments of his conscience, he seeks relief from his terror and moral isolation—first from Sonia, the pious streetwalker who urges him to confess, then in a tense game of cat and mouse with Porfiry, the brilliant magistrate assigned to the murder investigation. A tour de force of suspense, Crime and Punishment delineates the theories and motivations that underlie a bankrupt morality.",,"6 CDs, 51/4 hours"
"Little Women (Little Women, #1)",9780451529305,https://www.goodreads.com/buy_buttons/12/follow?book_id=1934&ref=x_gr_e_d_bp_default_sout_bb&tag=x_gr_e_d_bp_default_sout_bb-20,"Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcottâs most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ï¿½womanâs work,â including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ï¿½girlâs bookâ her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.","Little Women is a novel by American author Louisa May Alcott (1832–1888), which was originally published in two volumes in 1868 and 1869. Alcott wrote the books over several months at the request of her publisher.[1][2] Following the lives of the four March sisters—Meg, Jo, Beth and Amy—the novel details their passage from childhood to womanhood and is loosely based on the author and her three sisters.[3][4]:202","Little Women is a novel by American author Louisa May Alcott, which was originally published in two volumes in 1868 and 1869. Alcott wrote the books rapidly over several months at the request of her publisher. The novel follows the lives of four sisters—Meg, Jo, Beth, and Amy March—detailing their passage from childhood to womanhood, and is loosely based on the author and her three sisters.
Little Women was an immediate commercial and critical success, and readers demanded to know more about the characters. Alcott quickly completed a second volume. It was also successful. The two volumes were issued in 1880 in a single work entitled Little Women. Alcott also wrote two sequels to her popular work, both of which also featured the March sisters: Little Men and Jo's Boys. Although Little Women was a novel for girls, it differed notably from the current writings for children, especially girls. The novel addressed three major themes: ""domesticity, work, and true love, all of them interdependent and each necessary to the achievement of its heroine's individual identity.""",,"In picturesque nineteenth-century New England, tomboyish Jo, beautiful Meg, fragile Beth, and romantic Amy come of age while their father is off to war."
Great Expectations,9780192833594,https://www.goodreads.com/buy_buttons/15/follow?book_id=2623&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman â and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride.","Great Expectations is the thirteenth novel by Charles Dickens and his penultimate completed novel; a bildungsroman that depicts the personal growth and personal development of an orphan nicknamed Pip. It is Dickens's second novel, after David Copperfield, to be fully narrated in the first person.[N 1] The novel was first published as a serial in Dickens's weekly periodical All the Year Round, from 1 December 1860 to August 1861.[1] In October 1861, Chapman and Hall published the novel in three volumes.[2]","Great Expectations, by Charles Dickens, is part of the Barnes & Noble Classics series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of Barnes & Noble Classics:New introductions commissioned from today's top writers and scholars Biographies of the authors Chronologies of contemporary historical, biographical, and cultural events Footnotes and endnotes Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work Comments by other famous authors Study questions to challenge the reader's viewpoints and expectations Bibliographies for further reading Indices & Glossaries, when appropriateAll editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. Barnes & Noble Classics pulls together a constellation of influencesbiographical, historical, and literaryto enrich each reader's understanding of these enduring works. Great Expectations, described by G. K. Chesterton as a study in human weakness and the slow human surrender,” may be called Charles Dickens’s finest moment in a remarkably illustrious literary career.In an overgrown churchyard, a grizzled convict springs upon an orphan named Pip. The convict terrifies the young boy and threatens to kill him unless Pip helps further his escape. Later, Pip finds himself in the ruined garden where he meets the bitter and crazy Miss Havisham and her foster child Estella, with whom he immediately falls in love. After a secret benefactor gives him a fortune, Pip moves to London, where he cultivates great expectations for a life which would allow him to discard his impoverished beginnings and socialize with the idle upper class. As Pip struggles to become a gentleman and is tormented endlessly by the beautiful Estella, he slowly learns the truth about himself and his illusions.Written in the last decade of his life, Great Expectations reveals Dickens’s dark attitudes toward Victorian society, its inherent class structure, and its materialism. Yet this novel persists as one of Dickens’s most popular. Richly comic and immensely readable, Great Expectations overspills with vividly drawn characters, moral maelstroms, and the sorrow and pity of love.Radhika Jones is a doctoral candidate in English and comparative literature at Columbia University and the managing editor of Grand Street magazine.","With a new introduction and notes, this edition of Great Expectations offers new insights into one of Dickens's most fascinating and disturbing novels. Charting the progress of Pip from childhood to adulthood, Dickens shows the dangers of being driven by a desire for wealth and social status. As Pip moves from the Kent marshes to busy, commercial London, encountering many extraordinary characters--from Magwitch, the escaped convict, to Miss Havisham, a woman locked up with her past--he is confronted with the challenge of establishing a sense of his own identity and values contrary to the plans others have for him.","With a new introduction and notes, this edition of Great Expectations offers new insights into one of Dickens's most fascinating and disturbing novels. Charting the progress of Pip from childhood to adulthood, Dickens shows the dangers of being driven by a desire for wealth and social status. As Pip moves from the Kent marshes to busy, commercial London, encountering many extraordinary characters--from Magwitch, the escaped convict, to Miss Havisham, a woman locked up with her past--he is confronted with the challenge of establishing a sense of his own identity and values contrary to the plans others have for him."
War and Peace,9780192833983,https://www.goodreads.com/buy_buttons/14/follow?book_id=656&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"From the award-winning translators of Anna Karenina and The Brothers Karamazov comes this magnificent new translation of Tolstoy's masterwork. War and Peace broadly focuses on Napoleonâs invasion of Russia in 1812 and follows three of the most well-known characters in literature: Pierre Bezukhov, the illegitimate son of a count who is fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky, who leaves his family behind to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman who intrigues both men.A s Napoleonâs army invades, Tolstoy brilliantly follows characters from diverse backgroundsâpeasants and nobility, civilians and soldiersâas they struggle with the problems unique to their era, their history, and their culture. And as the novel progresses, these characters transcend their specificity, becoming some of the most movingâand humanâfigures in world literature.","War and Peace (pre-reform Russian: Война́ и миръ; post-reform Russian: Война́ и мир, translit. Voyná i mir [vɐjˈna i ˈmʲir]) is a novel by the Russian author Leo Tolstoy. It is regarded as a central work of world literature and one of Tolstoy's finest literary achievements.[1][2][3]","War And Peace is a novel about 5 upper-class families in Russia. It was first published in 1869, and the book has made a sizable impact on world literature. The book is set in the times of Napoleons invasion and gives readers a glimpse into what life is like in a Russian family, during that period. Readers will also get a chance to visit Tsar Alexanders court, as well as Borodino and Austerlitz, where battles took place.The book is historically accurate and uses realism in the novel to bring it to life. There are almost a hundred and sixty real people named in this book. The story starts in 1805, and takes readers through Frances invasion of Russia, led by Napoleon. The cultural and historical context of the times is brought out in the novel effectively, giving readers a more or less accurate representation of the event of the time.The five families who are the focus of the book are the Bolkonskys, the Bezukhovs, the Kuragins, the Drubetskoys, and the Rostovs. These families are involved in adultery, the pursuit of more wealth, and some are in search of a better career. War And Peace was published in 2000 by Rupa, and is available in paperback. Key Features War And Peace and Anna Karenina are regarded as Tolstoys greatest works.A large part of the book is more philosophy than narrative.",Presents the classic epic of the Napoleonic Wars and their effects on four Russian families,Presents the classic epic of the Napoleonic Wars and their effects on four Russian families
Les MisÃ©rables,9780451525260,https://www.goodreads.com/buy_buttons/12/follow?book_id=24280&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Introducing one of the most famous characters in literature, Jean Valjeanâthe noble peasant imprisoned for stealing a loaf of breadâLes MisÃ©rables ranks among the greatest novels of all time. In it, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil, and carries them to the barricades during the uprising of 1832 with a breathtaking realism that is unsurpassed in modern prose. Within his dramatic story are themes that capture the intellect and the emotions: crime and punishment, the relentless persecution of Valjean by Inspector Javert, the desperation of the prostitute Fantine, the amorality of the rogue ThÃ©nardier, and the universal desire to escape the prisons of our own minds. Les MisÃ©rables gave Victor Hugo a canvas upon which he portrayed his criticism of the French political and judicial systems, but the portrait that resulted is larger than life, epic in scopeâan extravagant spectacle that dazzles the senses even as it touches the heart.","Les Misérables (French pronunciation: ​[le mizeʁabl(ə)]) is a French historical novel by Victor Hugo, first published in 1862, that is considered one of the greatest novels of the 19th century. In the English-speaking world, the novel is usually referred to by its original French title. However, several alternatives have been used, including The Miserables, The Wretched, The Miserable Ones, The Poor Ones, The Wretched Poor, The Victims and The Dispossessed.[1] Beginning in 1815 and culminating in the 1832 June Rebellion in Paris, the novel follows the lives and interactions of several characters, particularly the struggles of ex-convict Jean Valjean and his experience of redemption.[2]","Introducing one of the most famous characters in literature, Jean Valjean—the noble peasant imprisoned for stealing a loaf of bread—Les Misérables ranks among the greatest novels of all time. In it, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil, and carries them to the barricades during the uprising of 1832 with a breathtaking realism that is unsurpassed in modern prose. Within his dramatic story are themes that capture the intellect and the emotions: crime and punishment, the relentless persecution of Valjean by Inspector Javert, the desperation of the prostitute Fantine, the amorality of the rogue Thénardier, and the universal desire to escape the prisons of our own minds. Les Misérables gave Victor Hugo a canvas upon which he portrayed his criticism of the French political and judicial systems, but the portrait that resulted is larger than life, epic in scope—an extravagant spectacle that dazzles the senses even as it touches the heart.This Signet Classics edition is the ONLY completely unabridged paperback edition available today.Translated by Lee Fahnestock and Norman Macafee, based on the classic nineteenth-century Charles E. Wilbour translationWith an Introduction by Lee Fahnestock and a New Afterword","Victor Hugo's towering novel of Jean Valjean, his unjust imprisonment, and his lifelong flight from a relentless police officer.","Victor Hugo's towering novel of Jean Valjean, his unjust imprisonment, and his lifelong flight from a relentless police officer."
The Idiot,9780679642428,https://www.goodreads.com/buy_buttons/12/follow?book_id=12505&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two womenâthe notorious kept woman Nastasya and the pure Aglaiaâboth involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkinâs honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnettâs drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original.","The Idiot (Russian: Идио́т, Idiot) is a novel by the 19th-century Russian author Fyodor Dostoevsky. It was first published serially in the journal The Russian Messenger in 1868–9.","Richard Pevear and Larissa Volokhonsky’s masterful translation of The Idiot is destined to stand with their versions of Crime and Punishment, The Brothers Karamazov, and Demons as the definitive Dostoevsky in English.After his great portrayal of a guilty man in Crime and Punishment, Dostoevsky set out in The Idiot to portray a man of pure innocence. The twenty-six-year-old Prince Myshkin, following a stay of several years in a Swiss sanatorium, returns to Russia to collect an inheritance and “be among people.” Even before he reaches home he meets the dark Rogozhin, a rich merchant’s son whose obsession with the beautiful Nastasya Filippovna eventually draws all three of them into a tragic denouement. In Petersburg the prince finds himself a stranger in a society obsessed with money, power, and manipulation. Scandal escalates to murder as Dostoevsky traces the surprising effect of this “positively beautiful man” on the people around him, leading to a final scene that is one of the most powerful in all of world literature.","Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two women—the notorious kept woman Nastasya and the pure Aglaia—both involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkin’s honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnett’s drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original.","Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two women—the notorious kept woman Nastasya and the pure Aglaia—both involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkin’s honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnett’s drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original."
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",9780451529558,https://www.goodreads.com/buy_buttons/12/follow?book_id=17876&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"A collection of powerful stories by one of the masters of Russian literature, illustrating the author's thoughts on political philosophy, religion and above all, humanity: Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead (150th Anniversary Edition)The compelling works presented in this volume were written at distinct periods in Dostoyevsky's life, at decisive moments in his groping for a political philosophy and a religious answer. From the primitive peasant who kills without understanding that he is destroying life to the anxious antihero of Notes from Undergroundâwho both craves and despises affectionâthe writer's often-tormented characters showcase his evolving outlook on our fate.Thomas Mann described Dostoyevsky as ""an author whose Christian sympathy is ordinarily devoted to human misery, sin, vice, the depths of lust and crime, rather than to nobility of body and soul"" and Notes from Underground as ""an awe- and terror- inspiring example of this sympathy.""",,,"A collection of powerful stories by one of the masters of Russian literature, illustrating Fyodor Dostoyevsky's thoughts on political philosophy, religion and above all, humanity.  From the primitive peasant who kills without understanding that he is destroying a human life, to the anxious antihero of Notes From Underground—a man who both craves and despises affection—this volume and its often-tormented characters showcase Dostoyevsky’s evolving outlook on man’s fate. The compelling works presented here were written at distinct periods in the author’s life, at decisive moments in his groping for a political philosophy and a religious answer. Thomas Mann described Dostoyevsky as “an author whose Christian sympathy is ordinarily devoted to human misery, sin, vice, the depths of lust and crime, rather than to nobility of body and soul”—and Notes From Underground as “an awe-and-terror-inspiring example of this sympathy.”     Translated and with an Afterword by Andrew R. MacAndrew  With an Introduction by Ben Marcus","A collection of powerful stories by one of the masters of Russian literature, illustrating Fyodor Dostoyevsky's thoughts on political philosophy, religion and above all, humanity.

From the primitive peasant who kills without understanding that he is destroying a human life, to the anxious antihero of Notes From Underground—a man who both craves and despises affection—this volume and its often-tormented characters showcase Dostoyevsky’s evolving outlook on man’s fate. The compelling works presented here were written at distinct periods in the author’s life, at decisive moments in his groping for a political philosophy and a religious answer. Thomas Mann described Dostoyevsky as “an author whose Christian sympathy is ordinarily devoted to human misery, sin, vice, the depths of lust and crime, rather than to nobility of body and soul”—and Notes From Underground as “an awe-and-terror-inspiring example of this sympathy.”
 
Translated and with an Afterword by Andrew R. MacAndrew
With an Introduction by Ben Marcus"
The Woman in White,9780141439617,https://www.goodreads.com/buy_buttons/12/follow?book_id=5890&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"'In one moment, every drop of blood in my body was brought to a stop... There, as if it had that moment sprung out of the earth, stood the figure of a solitary Woman, dressed from head to foot in white'The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter becomes embroiled in the sinister intrigues of Sir Percival Glyde and his 'charming' friend Count Fosco, who has a taste for white mice, vanilla bonbons, and poison. Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism.Matthew Sweet's introduction explores the phenomenon of Victorian 'sensation' fiction, and discusses Wilkie Collins's biographical and societal influences. Included in this edition are appendices on theatrical adaptations of the novel and its serialisation history.","The Woman in White is Wilkie Collins' fifth published novel, written in 1859. It is considered to be among the first mystery novels and is widely regarded as one of the first (and finest) in the genre of ""sensation novels"".","The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter is drawn into the sinister intrigues of Sir Percival Glyde and his ""charming"" friend Count Fosco, who has a taste for white mice, vanilla bonbons and poison. Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter is drawn into the sinister intrigues of Sir Percival Glyde and his ""charming"" friend Count Fosco, who has a taste for white mice, vanilla bonbons and poison.   Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism.  For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter is drawn into the sinister intrigues of Sir Percival Glyde and his ""charming"" friend Count Fosco, who has a taste for white mice, vanilla bonbons and poison. 

Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
Fathers and Sons,9780451529695,https://www.goodreads.com/buy_buttons/12/follow?book_id=19117&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Bazarovâa gifted, impatient, and caustic young manâhas journeyed from school to the home of his friend Arkady Kirsanov. But soon Bazarovâs outspoken rejection of authority and social conventions touches off quarrels, misunderstandings, and romantic entanglements that will utterly transform the Kirsanov household and reflect the changes taking place all across nineteenth-century Russia. Fathers and Sons enraged the old and the young, reactionaries, romantics, and radicals alike when it was first published. At the same time, Turgenev won the acclaim of Flaubert, Maupassant, and Henry James for his craftsmanship as a writer and his psychological insight. Fathers and Sons is now considered one of the worldâs greatest novels. A timeless depiction of generational conflict during social upheaval, it vividly portrays the clash between the older Russian aristocracy and the youthful radicalism that foreshadowed the revolution to comeâand offers modern-day readers much to reflect upon as they look around at their own tumultuous, changing world. Introduction by Jane Costlow","""Fathers and Sons"" is a short story by Ernest Hemingway published 1933, in the collection Winner Take Nothing. It later appeared in The Fifth Column and the First Forty-Nine Stories and The Snows of Kilimanjaro and Other Stories.","Bazarov—a gifted, impatient, and caustic young man—has journeyed from school to the home of his friend Arkady Kirsanov. But soon Bazarov’s outspoken rejection of authority and social conventions touches off quarrels, misunderstandings, and romantic entanglements that will utterly transform the Kirsanov household and reflect the changes taking place all across nineteenth-century Russia. Fathers and Sons enraged the old and the young, reactionaries, romantics, and radicals alike when it was first published. At the same time, Turgenev won the acclaim of Flaubert, Maupassant, and Henry James for his craftsmanship as a writer and his psychological insight. Fathers and Sons is now considered one of the world’s greatest novels. A timeless depiction of generational conflict during social upheaval, it vividly portrays the clash between the older Russian aristocracy and the youthful radicalism that foreshadowed the revolution to come—and offers modern-day readers much to reflect upon as they look around at their own tumultuous, changing world. Introduction by Jane Costlow ","Bazarov—a gifted, impatient, and caustic young man—has journeyed from school to the home of his friend Arkady Kirsanov. But soon Bazarov’s outspoken rejection of authority and social conventions touches off quarrels, misunderstandings, and romantic entanglements that will utterly transform the Kirsanov household and reflect the changes taking place all across nineteenth-century Russia.   Fathers and Sons enraged the old and the young, reactionaries, romantics, and radicals alike when it was first published. At the same time, Turgenev won the acclaim of Flaubert, Maupassant, and Henry James for his craftsmanship as a writer and his psychological insight. Fathers and Sons is now considered one of the world’s greatest novels.   A timeless depiction of generational conflict during social upheaval, it vividly portrays the clash between the older Russian aristocracy and the youthful radicalism that foreshadowed the revolution to come—and offers modern-day readers much to reflect upon as they look around at their own tumultuous, changing world.   Introduction by Jane Costlow","Bazarov—a gifted, impatient, and caustic young man—has journeyed from school to the home of his friend Arkady Kirsanov. But soon Bazarov’s outspoken rejection of authority and social conventions touches off quarrels, misunderstandings, and romantic entanglements that will utterly transform the Kirsanov household and reflect the changes taking place all across nineteenth-century Russia.

Fathers and Sons enraged the old and the young, reactionaries, romantics, and radicals alike when it was first published. At the same time, Turgenev won the acclaim of Flaubert, Maupassant, and Henry James for his craftsmanship as a writer and his psychological insight. Fathers and Sons is now considered one of the world’s greatest novels.

A timeless depiction of generational conflict during social upheaval, it vividly portrays the clash between the older Russian aristocracy and the youthful radicalism that foreshadowed the revolution to come—and offers modern-day readers much to reflect upon as they look around at their own tumultuous, changing world.

Introduction by Jane Costlow
 "
Silas Marner,9781416500346,https://www.goodreads.com/buy_buttons/12/follow?book_id=54539&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"George Eliot's tale of a solitary miser gradually redeemed by the joy of fatherhood, Silas Marner is edited with an introduction and notes by David Carroll in Penguin Classics.Wrongly accused of theft and exiled from a religious community many years before, the embittered weaver Silas Marner lives alone in Raveloe, living only for work and his precious hoard of money. But when his money is stolen and an orphaned child finds her way into his house, Silas is given the chance to transform his life. His fate, and that of Eppie, the little girl he adopts, is entwined with Godfrey Cass, son of the village Squire, who, like Silas, is trapped by his past. Silas Marner, George Eliot's favourite of her novels, combines humour, rich symbolism and pointed social criticism to create an unsentimental but affectionate portrait of rural life.This text uses the Cabinet edition, revised by George Eliot in 1878. David Carroll's introduction is complemented by the original Penguin Classics edition introduction by Q.D. Leavis.Mary Ann Evans (1819-80) began her literary career as a translator, and later editor, of the Westminster Review. In 1857, she published Scenes of Clerical Life, the first of eight novels she would publish under the name of 'George Eliot', including The Mill on the Floss, Middlemarch, and Daniel Deronda.If you enjoyed Silas Marner, you might like Nathaniel Hawthorne's The Scarlet Letter, also available in Penguin Classics.'I think Silas Marner holds a higher place than any of the author's works. It is more nearly a masterpiece; it has more of that simple, rounded, consummate aspect ... which marks a classical work'Henry James","Silas Marner: The Weaver of Raveloe is the third novel by George Eliot, published in 1861. An outwardly simple tale of a linen weaver, it is notable for its strong realism and its sophisticated treatment of a variety of issues ranging from religion to industrialisation to community.",,"Silas Marner by Eliot. Pocket Books, Inc.,2005","Enduring Literature Illuminated by Practical Scholarship
A young orphan transforms the life of a lonely, embittered man in this novel about faith and society set in nineteenth-century rural England.
Each Enriched Classic Edition includes:
• A concise introduction that gives readers important background information
• A chronology of the author's life and work
• A timeline of significant events that provides the book's historical context
• An outline of key themes and plot points to help readers form their own interpretations
• Detailed explanatory notes
• Critical analysis, including contemporary and modern perspectives on the work
• Discussion questions to promote lively classroom and book group interaction
• A list of recommended related books and films to broaden the reader's experience
Enriched Classics offer readers affordable editions of great works of literature enhanced by helpful notes and insightful commentary. The scholarship provided in Enriched Classics enables readers to appreciate, understand, and enjoy the world's finest books to their full potential.
Series edited by Cynthia Brantley Johnson"
