"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","9780545010221","J.K. Rowling","English","759","Arthur A. Levine Books","July 21st 2007","['Fantasy', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows"
"The Hunger Games (The Hunger Games, #1)","9780439023481","Suzanne Collins","English","374","Scholastic Press","September 14th 2008","['Young Adult', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Science Fiction']","https://www.goodreads.com/book/show/2767052-the-hunger-games"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","9780439785969","J.K. Rowling","English","652","Scholastic Inc.","September 16th 2006","['Fantasy', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","9780439139601","J.K. Rowling","English","734","Scholastic Inc.","September 28th 2002","['Fantasy', 'Childrens', 'Science Fiction Fantasy', 'Novels']","https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","9780439358071","J.K. Rowling","English","870","Scholastic Inc.","August 10th 2004","['Fantasy', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix"
"The Book Thief","9780375831003","Markus Zusak","English","552","Alfred A. Knopf Books for Young Readers","March 14th 2006","['Historical', 'Historical Fiction', 'Fiction', 'Young Adult']","https://www.goodreads.com/book/show/19063.The_Book_Thief"
"The Time Traveler's Wife","9781939126016","Audrey Niffenegger","English","500","Zola Books","September 23rd 2013","['Fiction', 'Romance', 'Fantasy', 'Science Fiction', 'Time Travel', 'Science Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult', 'Adult Fiction', 'Novels']","https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife"
"The Kite Runner","9781594480003","Khaled Hosseini","English","371","Riverhead Books","May 1st 2004","['Fiction', 'Historical', 'Historical Fiction', 'Contemporary']","https://www.goodreads.com/book/show/77203.The_Kite_Runner"
"The Help","9780399155345","Kathryn Stockett","English","444","Amy Einhorn Books","February 10th 2009","['Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/4667024-the-help"
"A Thousand Splendid Suns","9781594489501","Khaled Hosseini","English","367","Riverhead","May 22nd 2007","['Fiction', 'Historical', 'Historical Fiction', 'Contemporary']","https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns"
