ID,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10
100000,102020,106016,104574,100004,200408,201358,201421,106165,200725,102244
100001,100224,203946,200002,202565,100467,100504,203304,204898,101510,200524
100002,100946,100134,100004,200431,104574,106165,201421,200408,100329,200137
100003,100004,103759,100000,300001,200137,300002,300000,201421,200431,100195
100004,200137,104574,100002,300002,100000,300001,300000,300008,100022,100088
100005,204896,202355,104863,202745,302760,304519,100012,300006,304395,103049
100006,102902,304579,200513,202536,200301,205459,303999,101600,402403,203444
100007,200530,200049,100009,203512,300008,203771,205399,201421,200032,100016
100008,204672,204170,200676,304461,300233,100709,205078,100023,202536,203457
100009,200408,106165,100833,102244,100011,101174,200725,205475,102478,100773
100010,200002,100224,100001,200372,204651,200015,105111,203282,100949,200054
100011,200725,202372,100329,200561,201414,200408,200020,106165,100773,100468
100012,101162,100023,300335,100011,106165,201421,200155,300008,100009,305729
100013,100626,100320,103791,203555,200933,202672,203354,205717,202524,205301
100014,401043,101193,303999,402029,305765,400028,305709,200681,100096,400557
100015,300000,401078,105461,302828,302389,101702,102178,204576,100933,100607
100016,106081,201538,400023,402409,200241,100098,100012,300008,300273,305709
100017,100018,101193,200361,300025,100504,105304,304370,103298,103143,203512
100018,103070,200666,202496,105304,203500,104863,100180,203951,200361,200155
100019,201532,100383,105606,301084,305716,300961,301023,301800,300233,202401
100020,204287,300902,300233,300054,203965,202749,106081,200586,100023,106354
100021,202536,200049,101769,100327,402066,101105,201414,101193,200054,205062
100022,300001,100000,104574,300000,103759,100004,300002,100312,204629,105509
100023,100833,102478,105466,200155,104872,105739,200408,205475,201414,204672
100024,100738,100101,100115,100108,200011,101333,200031,200028,204040,200231
100025,100947,204170,205717,204243,100011,203304,201910,105808,100012,200118
100026,102631,301683,100030,100025,100947,100011,101176,200648,102094,105214
100027,106180,203895,202536,202565,101174,204607,100380,101886,305919,402710
100028,200380,100048,100598,204059,204254,202565,202355,106328,205631,200049
100029,102178,100127,300128,100393,105304,203400,104863,200071,100261,300000
100030,100011,303912,100947,300786,202570,202536,100025,101176,203660,200111
100031,101264,105815,305709,203403,303999,100763,201358,104261,200357,203737
100032,202536,106096,100011,202570,201524,200372,102196,100016,200445,204898
100033,100393,200118,200466,100106,200027,200005,200026,204034,105808,200797
100034,202706,201075,202536,203042,101167,201758,100709,203811,200324,202496
100035,200259,205631,200373,100079,204170,500011,202056,103796,300966,201315
100036,100626,100052,100013,203354,204651,304373,202460,204832,302917,201276
100037,100370,200032,200016,202536,205319,200907,304519,101878,302837,200216
100038,201518,101417,100778,105166,204809,100118,300667,200216,203771,200312
100039,304461,106081,200034,200324,400023,200032,101148,201923,200216,101777
100040,100849,204750,204654,203849,200776,201055,200124,103791,200324,200647
100041,203636,200023,202883,106048,300381,201910,100366,100736,103264,102108
100042,201479,205717,200118,100545,101500,202630,205562,106328,100398,101174
100043,300273,400023,106081,300044,200587,202570,100012,100773,100347,402029
100044,101128,202791,100415,103298,304581,101162,500158,200159,100379,102192
100045,102481,101193,201538,305729,200431,103070,201421,205091,100079,304502
100046,101174,100690,103625,105283,103818,106363,204019,200968,300120,102108
100047,101846,200843,100380,100023,102476,100180,205475,300011,100375,203423
100048,100172,200126,100180,100028,200032,200431,400010,204735,201171,100768
100049,201401,304461,200705,101616,100410,200339,100504,300295,303721,201286
100050,201008,201228,105304,300335,204619,101616,104872,200586,201107,100102
100051,105527,102037,300018,300003,200014,100131,105490,200541,400010,102601
100052,200032,203354,100626,400010,100013,305739,203852,200436,202536,100036
100053,105665,100370,105315,203497,304370,201564,200005,100213,205261,200357
100054,201802,200530,200985,205519,202744,100504,201535,200408,102611,100773
100055,100122,100130,100339,200083,200310,201249,202071,204559,205072,200187
100056,200201,203009,202897,200436,101485,203830,300167,104412,200268,201414
100057,203737,202744,203304,100763,200411,400010,300167,100504,100048,200728
100058,204076,100561,100023,203850,100099,204054,200848,101790,402409,200455
100059,101148,402767,100329,204291,302917,304486,202849,200436,400044,204651
100060,100420,100763,104261,100096,200436,401710,100118,303999,305709,203555
100061,201108,100156,200082,200324,100572,205459,201400,100904,205291,101106
100062,101474,200908,100733,203555,104515,400815,102108,401406,500245,200034
100063,200301,205706,200033,204907,402982,106468,104438,204601,205631,201108
100064,100079,200268,200023,102196,106081,102108,205057,101092,300367,301887
100065,200392,200091,101770,205706,200436,201538,204735,106081,100432,304579
100066,200256,200049,300059,100398,204813,100177,100045,300667,300233,106081
100067,101471,200219,100017,100587,101193,104261,302288,200049,200339,106127
100068,100966,100159,101825,202430,204813,500268,203745,204503,400815,202630
100069,203378,203326,200379,302632,202145,204907,103552,100099,105327,304932
100070,100023,201538,106081,200848,500411,100773,200586,203926,201217,200985
100071,202536,201075,200484,203926,204291,104863,200637,200373,203440,100016
100072,100023,304932,303999,304408,304856,300335,105715,500678,305967,101377
100073,400823,102167,303999,302798,101161,106485,300200,302832,400975,300771
100074,300024,200020,100221,203400,205091,400010,200005,203304,103298,200357
100075,400023,100016,200513,101193,203926,202749,302389,203512,201075,300813
100076,102101,301800,202293,302586,202673,102167,200261,102334,102876,200009
100077,105493,200109,201470,203304,200586,103143,201414,104872,201538,200431
100078,102590,205475,200082,200733,202231,302369,202564,301308,101365,200383
100079,101167,200320,101193,202536,103298,100179,201017,102168,201910,204019
100080,100335,200518,201269,203272,103489,202770,106568,402066,201127,204567
100081,306441,203925,304055,101060,202254,200039,203239,201596,204059,203582
100082,100504,200256,101125,106081,100730,201075,302660,201538,201910,200049
100083,100012,100763,200389,101162,201857,100016,302798,104863,201217,203512
100084,302725,103976,203225,401044,202785,101451,204454,205062,202342,202523
100085,200552,200856,201445,300572,204813,402901,205078,201035,100082,200356
100086,304592,100012,204940,200876,203842,201017,100778,201075,202490,201910
100087,200431,100380,201421,200408,100023,305729,100329,200109,300273,202372
100088,201300,200431,203372,200408,201538,102478,200155,100329,100773,106165
100089,101532,304519,102843,200012,106694,100751,402042,304222,202300,300146
100090,100773,101174,100398,301725,103143,100077,204019,200891,200023,305729
100091,201108,104070,200372,303003,200009,204243,100214,100162,105810,202536
100092,302632,102844,100533,205266,203772,104648,104896,202770,205188,101633
100093,200025,104501,200301,100059,105752,104905,304519,203899,300313,203889
100094,300901,102143,301633,204567,105644,200530,100581,100777,200874,205076
100095,106081,200346,102391,304461,200454,105961,200254,300032,103716,204750
100096,200408,200431,402409,400023,101193,305709,200005,100773,100016,204686
100097,301812,304932,302917,301734,304367,102895,100306,106030,303999,402759
100098,203820,100016,204291,301725,202401,305709,302917,303999,300008,203902
100099,205475,105739,105466,100011,203400,102478,203304,100833,200087,200431
100100,100115,100108,100024,203623,100101,200011,200231,100880,102108,100746
100101,100115,100738,100024,200028,100108,200011,200036,304622,101333,402448
100102,100378,400860,102108,302876,200032,204832,204800,401431,200907,300061
